date,sst_atlantic_f,sst_pacific_f,sst_gulf_f,sst_atlantic_anom,sst_pacific_anom,sst_gulf_anom,data_source,quality_flag
1995-02-07,63.9747,57.1437,74.4862,1.1053,-0.9591,0.2501,NOAA_NCEI_OISST_V2.1,1
1995-02-08,63.9561,57.0999,74.4584,1.0887,-0.9724,0.2229,NOAA_NCEI_OISST_V2.1,1
1995-02-09,63.9375,57.0561,74.4307,1.0721,-0.9858,0.1957,NOAA_NCEI_OISST_V2.1,1
1995-02-10,63.9189,57.0123,74.4029,1.0555,-0.9991,0.1686,NOAA_NCEI_OISST_V2.1,1
1995-02-11,63.9003,56.9685,74.3751,1.0389,-1.0125,0.1414,NOAA_NCEI_OISST_V2.1,1
1995-02-12,63.8817,56.9247,74.3473,1.0223,-1.0259,0.1142,NOAA_NCEI_OISST_V2.1,1
1995-02-13,63.8631,56.8809,74.3195,1.0057,-1.0392,0.0871,NOAA_NCEI_OISST_V2.1,1
1995-02-14,63.8445,56.8372,74.2917,0.9892,-1.0526,0.0599,NOAA_NCEI_OISST_V2.1,1
1995-02-15,63.8260,56.7934,74.2639,0.9726,-1.0659,0.0327,NOAA_NCEI_OISST_V2.1,1
1995-02-16,63.8074,56.7496,74.2362,0.9560,-1.0793,0.0055,NOAA_NCEI_OISST_V2.1,1
1995-02-17,63.7888,56.7058,74.2084,0.9394,-1.0926,-0.0216,NOAA_NCEI_OISST_V2.1,1
1995-02-18,63.7702,56.6620,74.1806,0.9228,-1.1060,-0.0488,NOAA_NCEI_OISST_V2.1,1
1995-02-19,63.7516,56.6182,74.1528,0.9062,-1.1193,-0.0760,NOAA_NCEI_OISST_V2.1,1
1995-02-20,63.7330,56.5744,74.1250,0.8896,-1.1327,-0.1031,NOAA_NCEI_OISST_V2.1,1
1995-02-21,63.7144,56.5307,74.0972,0.8730,-1.1460,-0.1303,NOAA_NCEI_OISST_V2.1,1
1995-02-22,63.6958,56.4869,74.0695,0.8564,-1.1594,-0.1575,NOAA_NCEI_OISST_V2.1,1
1995-02-23,63.6772,56.4431,74.0417,0.8399,-1.1727,-0.1847,NOAA_NCEI_OISST_V2.1,1
1995-02-24,63.6586,56.3993,74.0139,0.8233,-1.1861,-0.2118,NOAA_NCEI_OISST_V2.1,1
1995-02-25,63.6400,56.3555,73.9861,0.8067,-1.1995,-0.2390,NOAA_NCEI_OISST_V2.1,1
1995-02-26,63.6214,56.3117,73.9583,0.7901,-1.2128,-0.2662,NOAA_NCEI_OISST_V2.1,1
1995-02-27,63.6028,56.2680,73.9305,0.7735,-1.2262,-0.2933,NOAA_NCEI_OISST_V2.1,1
1995-02-28,63.5842,56.2242,73.9028,0.7569,-1.2395,-0.3205,NOAA_NCEI_OISST_V2.1,1
1995-03-01,63.5656,56.1804,73.8750,0.7403,-1.2529,-0.3477,NOAA_NCEI_OISST_V2.1,1
1995-03-02,63.4509,56.2034,73.9216,0.6611,-1.2519,-0.3458,NOAA_NCEI_OISST_V2.1,1
1995-03-03,63.3363,56.2265,73.9683,0.5868,-1.2546,-0.3489,NOAA_NCEI_OISST_V2.1,1
1995-03-04,63.2216,56.2496,74.0150,0.5125,-1.2573,-0.3520,NOAA_NCEI_OISST_V2.1,1
1995-03-05,63.1070,56.2726,74.0617,0.4382,-1.2599,-0.3551,NOAA_NCEI_OISST_V2.1,1
1995-03-06,62.9923,56.2957,74.1083,0.3638,-1.2626,-0.3582,NOAA_NCEI_OISST_V2.1,1
1995-03-07,62.8776,56.3187,74.1550,0.2895,-1.2653,-0.3613,NOAA_NCEI_OISST_V2.1,1
1995-03-08,62.7630,56.3418,74.2017,0.2152,-1.2680,-0.3644,NOAA_NCEI_OISST_V2.1,1
1995-03-09,62.6483,56.3649,74.2483,0.1409,-1.2706,-0.3675,NOAA_NCEI_OISST_V2.1,1
1995-03-10,62.5336,56.3879,74.2950,0.0666,-1.2733,-0.3706,NOAA_NCEI_OISST_V2.1,1
1995-03-11,62.4190,56.4110,74.3417,-0.0078,-1.2760,-0.3737,NOAA_NCEI_OISST_V2.1,1
1995-03-12,62.3043,56.4340,74.3884,-0.0821,-1.2787,-0.3768,NOAA_NCEI_OISST_V2.1,1
1995-03-13,62.1896,56.4571,74.4350,-0.1564,-1.2814,-0.3799,NOAA_NCEI_OISST_V2.1,1
1995-03-14,62.0750,56.4801,74.4817,-0.2307,-1.2840,-0.3830,NOAA_NCEI_OISST_V2.1,1
1995-03-15,61.9603,56.5032,74.5284,-0.3050,-1.2867,-0.3861,NOAA_NCEI_OISST_V2.1,1
1995-03-16,61.8456,56.5263,74.5750,-0.3793,-1.2894,-0.3892,NOAA_NCEI_OISST_V2.1,1
1995-03-17,61.7310,56.5493,74.6217,-0.4537,-1.2921,-0.3924,NOAA_NCEI_OISST_V2.1,1
1995-03-18,61.6163,56.5724,74.6684,-0.5280,-1.2948,-0.3955,NOAA_NCEI_OISST_V2.1,1
1995-03-19,61.5016,56.5954,74.7151,-0.6023,-1.2974,-0.3986,NOAA_NCEI_OISST_V2.1,1
1995-03-20,61.3870,56.6185,74.7617,-0.6766,-1.3001,-0.4017,NOAA_NCEI_OISST_V2.1,1
1995-03-21,61.2723,56.6416,74.8084,-0.7509,-1.3028,-0.4048,NOAA_NCEI_OISST_V2.1,1
1995-03-22,61.1576,56.6646,74.8551,-0.8253,-1.3055,-0.4079,NOAA_NCEI_OISST_V2.1,1
1995-03-23,61.0430,56.6877,74.9017,-0.8996,-1.3081,-0.4110,NOAA_NCEI_OISST_V2.1,1
1995-03-24,60.9283,56.7107,74.9484,-0.9739,-1.3108,-0.4141,NOAA_NCEI_OISST_V2.1,1
1995-03-25,60.8137,56.7338,74.9951,-1.0482,-1.3135,-0.4172,NOAA_NCEI_OISST_V2.1,1
1995-03-26,60.6990,56.7569,75.0418,-1.1225,-1.3162,-0.4203,NOAA_NCEI_OISST_V2.1,1
1995-03-27,60.5843,56.7799,75.0884,-1.1968,-1.3189,-0.4234,NOAA_NCEI_OISST_V2.1,1
1995-03-28,60.4697,56.8030,75.1351,-1.2712,-1.3215,-0.4265,NOAA_NCEI_OISST_V2.1,1
1995-03-29,60.3550,56.8260,75.1818,-1.3455,-1.3242,-0.4296,NOAA_NCEI_OISST_V2.1,1
1995-03-30,60.2403,56.8491,75.2285,-1.4198,-1.3269,-0.4327,NOAA_NCEI_OISST_V2.1,1
1995-03-31,60.1257,56.8721,75.2751,-1.4941,-1.3296,-0.4358,NOAA_NCEI_OISST_V2.1,1
1995-04-01,60.0110,56.8952,75.3218,-1.5684,-1.3322,-0.4389,NOAA_NCEI_OISST_V2.1,1
1995-04-02,60.1224,56.9879,75.4722,-1.5389,-1.3199,-0.4052,NOAA_NCEI_OISST_V2.1,1
1995-04-03,60.2337,57.0805,75.6227,-1.5163,-1.3188,-0.3788,NOAA_NCEI_OISST_V2.1,1
1995-04-04,60.3451,57.1732,75.7731,-1.4936,-1.3177,-0.3525,NOAA_NCEI_OISST_V2.1,1
1995-04-05,60.4565,57.2659,75.9235,-1.4709,-1.3166,-0.3261,NOAA_NCEI_OISST_V2.1,1
1995-04-06,60.5678,57.3585,76.0740,-1.4483,-1.3155,-0.2997,NOAA_NCEI_OISST_V2.1,1
1995-04-07,60.6792,57.4512,76.2244,-1.4256,-1.3144,-0.2733,NOAA_NCEI_OISST_V2.1,1
1995-04-08,60.7906,57.5439,76.3748,-1.4030,-1.3134,-0.2469,NOAA_NCEI_OISST_V2.1,1
1995-04-09,60.9019,57.6366,76.5252,-1.3803,-1.3123,-0.2206,NOAA_NCEI_OISST_V2.1,1
1995-04-10,61.0133,57.7292,76.6757,-1.3577,-1.3112,-0.1942,NOAA_NCEI_OISST_V2.1,1
1995-04-11,61.1246,57.8219,76.8261,-1.3350,-1.3101,-0.1678,NOAA_NCEI_OISST_V2.1,1
1995-04-12,61.2360,57.9146,76.9765,-1.3124,-1.3090,-0.1414,NOAA_NCEI_OISST_V2.1,1
1995-04-13,61.3474,58.0072,77.1270,-1.2897,-1.3079,-0.1150,NOAA_NCEI_OISST_V2.1,1
1995-04-14,61.4587,58.0999,77.2774,-1.2671,-1.3068,-0.0886,NOAA_NCEI_OISST_V2.1,1
1995-04-15,61.5701,58.1926,77.4278,-1.2444,-1.3058,-0.0623,NOAA_NCEI_OISST_V2.1,1
1995-04-16,61.6815,58.2852,77.5783,-1.2217,-1.3047,-0.0359,NOAA_NCEI_OISST_V2.1,1
1995-04-17,61.7928,58.3779,77.7287,-1.1991,-1.3036,-0.0095,NOAA_NCEI_OISST_V2.1,1
1995-04-18,61.9042,58.4706,77.8791,-1.1764,-1.3025,0.0169,NOAA_NCEI_OISST_V2.1,1
1995-04-19,62.0156,58.5633,78.0295,-1.1538,-1.3014,0.0433,NOAA_NCEI_OISST_V2.1,1
1995-04-20,62.1269,58.6559,78.1800,-1.1311,-1.3003,0.0697,NOAA_NCEI_OISST_V2.1,1
1995-04-21,62.2383,58.7486,78.3304,-1.1085,-1.2992,0.0960,NOAA_NCEI_OISST_V2.1,1
1995-04-22,62.3497,58.8413,78.4808,-1.0858,-1.2982,0.1224,NOAA_NCEI_OISST_V2.1,1
1995-04-23,62.4610,58.9339,78.6313,-1.0632,-1.2971,0.1488,NOAA_NCEI_OISST_V2.1,1
1995-04-24,62.5724,59.0266,78.7817,-1.0405,-1.2960,0.1752,NOAA_NCEI_OISST_V2.1,1
1995-04-25,62.6837,59.1193,78.9321,-1.0178,-1.2949,0.2016,NOAA_NCEI_OISST_V2.1,1
1995-04-26,62.7951,59.2119,79.0826,-0.9952,-1.2938,0.2279,NOAA_NCEI_OISST_V2.1,1
1995-04-27,62.9065,59.3046,79.2330,-0.9725,-1.2927,0.2543,NOAA_NCEI_OISST_V2.1,1
1995-04-28,63.0178,59.3973,79.3834,-0.9499,-1.2916,0.2807,NOAA_NCEI_OISST_V2.1,1
1995-04-29,63.1292,59.4900,79.5339,-0.9272,-1.2905,0.3071,NOAA_NCEI_OISST_V2.1,1
1995-04-30,63.2406,59.5826,79.6843,-0.9046,-1.2895,0.3335,NOAA_NCEI_OISST_V2.1,1
1995-05-01,63.3519,59.6753,79.8347,-0.8819,-1.2884,0.3599,NOAA_NCEI_OISST_V2.1,1
1995-05-02,63.4529,59.7961,79.9133,-0.8923,-1.3006,0.3395,NOAA_NCEI_OISST_V2.1,1
1995-05-03,63.5538,59.9169,79.9919,-0.9083,-1.3217,0.3177,NOAA_NCEI_OISST_V2.1,1
1995-05-04,63.6547,60.0376,80.0704,-0.9242,-1.3428,0.2959,NOAA_NCEI_OISST_V2.1,1
1995-05-05,63.7557,60.1584,80.1490,-0.9401,-1.3639,0.2742,NOAA_NCEI_OISST_V2.1,1
1995-05-06,63.8566,60.2792,80.2276,-0.9561,-1.3850,0.2524,NOAA_NCEI_OISST_V2.1,1
1995-05-07,63.9575,60.4000,80.3061,-0.9720,-1.4061,0.2306,NOAA_NCEI_OISST_V2.1,1
1995-05-08,64.0585,60.5208,80.3847,-0.9879,-1.4272,0.2088,NOAA_NCEI_OISST_V2.1,1
1995-05-09,64.1594,60.6416,80.4633,-1.0039,-1.4482,0.1871,NOAA_NCEI_OISST_V2.1,1
1995-05-10,64.2603,60.7623,80.5418,-1.0198,-1.4693,0.1653,NOAA_NCEI_OISST_V2.1,1
1995-05-11,64.3612,60.8831,80.6204,-1.0357,-1.4904,0.1435,NOAA_NCEI_OISST_V2.1,1
1995-05-12,64.4622,61.0039,80.6990,-1.0517,-1.5115,0.1218,NOAA_NCEI_OISST_V2.1,1
1995-05-13,64.5631,61.1247,80.7776,-1.0676,-1.5326,0.1000,NOAA_NCEI_OISST_V2.1,1
1995-05-14,64.6640,61.2455,80.8561,-1.0835,-1.5537,0.0782,NOAA_NCEI_OISST_V2.1,1
1995-05-15,64.7650,61.3663,80.9347,-1.0995,-1.5747,0.0565,NOAA_NCEI_OISST_V2.1,1
1995-05-16,64.8659,61.4871,81.0133,-1.1154,-1.5958,0.0347,NOAA_NCEI_OISST_V2.1,1
1995-05-17,64.9668,61.6078,81.0918,-1.1313,-1.6169,0.0129,NOAA_NCEI_OISST_V2.1,1
1995-05-18,65.0678,61.7286,81.1704,-1.1473,-1.6380,-0.0088,NOAA_NCEI_OISST_V2.1,1
1995-05-19,65.1687,61.8494,81.2490,-1.1632,-1.6591,-0.0306,NOAA_NCEI_OISST_V2.1,1
1995-05-20,65.2696,61.9702,81.3276,-1.1792,-1.6802,-0.0524,NOAA_NCEI_OISST_V2.1,1
1995-05-21,65.3706,62.0910,81.4061,-1.1951,-1.7012,-0.0741,NOAA_NCEI_OISST_V2.1,1
1995-05-22,65.4715,62.2118,81.4847,-1.2110,-1.7223,-0.0959,NOAA_NCEI_OISST_V2.1,1
1995-05-23,65.5724,62.3325,81.5633,-1.2270,-1.7434,-0.1177,NOAA_NCEI_OISST_V2.1,1
1995-05-24,65.6733,62.4533,81.6418,-1.2429,-1.7645,-0.1394,NOAA_NCEI_OISST_V2.1,1
1995-05-25,65.7743,62.5741,81.7204,-1.2588,-1.7856,-0.1612,NOAA_NCEI_OISST_V2.1,1
1995-05-26,65.8752,62.6949,81.7990,-1.2748,-1.8067,-0.1830,NOAA_NCEI_OISST_V2.1,1
1995-05-27,65.9761,62.8157,81.8775,-1.2907,-1.8277,-0.2047,NOAA_NCEI_OISST_V2.1,1
1995-05-28,66.0771,62.9365,81.9561,-1.3066,-1.8488,-0.2265,NOAA_NCEI_OISST_V2.1,1
1995-05-29,66.1780,63.0572,82.0347,-1.3226,-1.8699,-0.2483,NOAA_NCEI_OISST_V2.1,1
1995-05-30,66.2789,63.1780,82.1133,-1.3385,-1.8910,-0.2700,NOAA_NCEI_OISST_V2.1,1
1995-05-31,66.3799,63.2988,82.1918,-1.3544,-1.9121,-0.2918,NOAA_NCEI_OISST_V2.1,1
1995-06-01,66.4808,63.4196,82.2704,-1.3704,-1.9332,-0.3136,NOAA_NCEI_OISST_V2.1,1
1995-06-02,66.7099,63.6247,82.3454,-1.3432,-1.8978,-0.3209,NOAA_NCEI_OISST_V2.1,1
1995-06-03,66.9389,63.8298,82.4204,-1.3308,-1.8647,-0.3235,NOAA_NCEI_OISST_V2.1,1
1995-06-04,67.1680,64.0349,82.4954,-1.3184,-1.8317,-0.3260,NOAA_NCEI_OISST_V2.1,1
1995-06-05,67.3970,64.2401,82.5703,-1.3060,-1.7986,-0.3285,NOAA_NCEI_OISST_V2.1,1
1995-06-06,67.6261,64.4452,82.6453,-1.2936,-1.7655,-0.3310,NOAA_NCEI_OISST_V2.1,1
1995-06-07,67.8551,64.6503,82.7203,-1.2813,-1.7325,-0.3336,NOAA_NCEI_OISST_V2.1,1
1995-06-08,68.0842,64.8554,82.7953,-1.2689,-1.6994,-0.3361,NOAA_NCEI_OISST_V2.1,1
1995-06-09,68.3132,65.0605,82.8703,-1.2565,-1.6663,-0.3386,NOAA_NCEI_OISST_V2.1,1
1995-06-10,68.5423,65.2656,82.9453,-1.2441,-1.6333,-0.3411,NOAA_NCEI_OISST_V2.1,1
1995-06-11,68.7713,65.4707,83.0202,-1.2317,-1.6002,-0.3437,NOAA_NCEI_OISST_V2.1,1
1995-06-12,69.0004,65.6758,83.0952,-1.2193,-1.5671,-0.3462,NOAA_NCEI_OISST_V2.1,1
1995-06-13,69.2294,65.8810,83.1702,-1.2069,-1.5341,-0.3487,NOAA_NCEI_OISST_V2.1,1
1995-06-14,69.4585,66.0861,83.2452,-1.1945,-1.5010,-0.3512,NOAA_NCEI_OISST_V2.1,1
1995-06-15,69.6875,66.2912,83.3202,-1.1821,-1.4679,-0.3538,NOAA_NCEI_OISST_V2.1,1
1995-06-16,69.9166,66.4963,83.3952,-1.1698,-1.4349,-0.3563,NOAA_NCEI_OISST_V2.1,1
1995-06-17,70.1456,66.7014,83.4702,-1.1574,-1.4018,-0.3588,NOAA_NCEI_OISST_V2.1,1
1995-06-18,70.3747,66.9065,83.5451,-1.1450,-1.3687,-0.3613,NOAA_NCEI_OISST_V2.1,1
1995-06-19,70.6038,67.1116,83.6201,-1.1326,-1.3356,-0.3639,NOAA_NCEI_OISST_V2.1,1
1995-06-20,70.8328,67.3167,83.6951,-1.1202,-1.3026,-0.3664,NOAA_NCEI_OISST_V2.1,1
1995-06-21,71.0619,67.5218,83.7701,-1.1078,-1.2695,-0.3689,NOAA_NCEI_OISST_V2.1,1
1995-06-22,71.2909,67.7270,83.8451,-1.0954,-1.2364,-0.3714,NOAA_NCEI_OISST_V2.1,1
1995-06-23,71.5200,67.9321,83.9201,-1.0830,-1.2034,-0.3740,NOAA_NCEI_OISST_V2.1,1
1995-06-24,71.7490,68.1372,83.9950,-1.0706,-1.1703,-0.3765,NOAA_NCEI_OISST_V2.1,1
1995-06-25,71.9781,68.3423,84.0700,-1.0583,-1.1372,-0.3790,NOAA_NCEI_OISST_V2.1,1
1995-06-26,72.2071,68.5474,84.1450,-1.0459,-1.1042,-0.3815,NOAA_NCEI_OISST_V2.1,1
1995-06-27,72.4362,68.7525,84.2200,-1.0335,-1.0711,-0.3840,NOAA_NCEI_OISST_V2.1,1
1995-06-28,72.6652,68.9576,84.2950,-1.0211,-1.0380,-0.3866,NOAA_NCEI_OISST_V2.1,1
1995-06-29,72.8943,69.1627,84.3700,-1.0087,-1.0050,-0.3891,NOAA_NCEI_OISST_V2.1,1
1995-06-30,73.1233,69.3679,84.4450,-0.9963,-0.9719,-0.3916,NOAA_NCEI_OISST_V2.1,1
1995-07-01,73.3524,69.5730,84.5199,-0.9839,-0.9388,-0.3941,NOAA_NCEI_OISST_V2.1,1
1995-07-02,73.4363,69.6138,84.5488,-1.0040,-0.9764,-0.4032,NOAA_NCEI_OISST_V2.1,1
1995-07-03,73.5201,69.6547,84.5776,-1.0054,-1.0021,-0.4016,NOAA_NCEI_OISST_V2.1,1
1995-07-04,73.6040,69.6955,84.6065,-1.0068,-1.0279,-0.4001,NOAA_NCEI_OISST_V2.1,1
1995-07-05,73.6879,69.7364,84.6353,-1.0082,-1.0536,-0.3985,NOAA_NCEI_OISST_V2.1,1
1995-07-06,73.7718,69.7772,84.6642,-1.0096,-1.0793,-0.3969,NOAA_NCEI_OISST_V2.1,1
1995-07-07,73.8556,69.8181,84.6930,-1.0109,-1.1050,-0.3953,NOAA_NCEI_OISST_V2.1,1
1995-07-08,73.9395,69.8589,84.7218,-1.0123,-1.1308,-0.3937,NOAA_NCEI_OISST_V2.1,1
1995-07-09,74.0234,69.8998,84.7507,-1.0137,-1.1565,-0.3921,NOAA_NCEI_OISST_V2.1,1
1995-07-10,74.1073,69.9406,84.7795,-1.0151,-1.1822,-0.3905,NOAA_NCEI_OISST_V2.1,1
1995-07-11,74.1911,69.9815,84.8084,-1.0164,-1.2079,-0.3889,NOAA_NCEI_OISST_V2.1,1
1995-07-12,74.2750,70.0223,84.8372,-1.0178,-1.2336,-0.3873,NOAA_NCEI_OISST_V2.1,1
1995-07-13,74.3589,70.0632,84.8661,-1.0192,-1.2594,-0.3857,NOAA_NCEI_OISST_V2.1,1
1995-07-14,74.4428,70.1040,84.8949,-1.0206,-1.2851,-0.3841,NOAA_NCEI_OISST_V2.1,1
1995-07-15,74.5266,70.1449,84.9238,-1.0220,-1.3108,-0.3825,NOAA_NCEI_OISST_V2.1,1
1995-07-16,74.6105,70.1857,84.9526,-1.0233,-1.3365,-0.3809,NOAA_NCEI_OISST_V2.1,1
1995-07-17,74.6944,70.2266,84.9815,-1.0247,-1.3622,-0.3793,NOAA_NCEI_OISST_V2.1,1
1995-07-18,74.7783,70.2674,85.0103,-1.0261,-1.3880,-0.3777,NOAA_NCEI_OISST_V2.1,1
1995-07-19,74.8621,70.3083,85.0391,-1.0275,-1.4137,-0.3761,NOAA_NCEI_OISST_V2.1,1
1995-07-20,74.9460,70.3491,85.0680,-1.0288,-1.4394,-0.3745,NOAA_NCEI_OISST_V2.1,1
1995-07-21,75.0299,70.3900,85.0968,-1.0302,-1.4651,-0.3729,NOAA_NCEI_OISST_V2.1,1
1995-07-22,75.1138,70.4308,85.1257,-1.0316,-1.4909,-0.3713,NOAA_NCEI_OISST_V2.1,1
1995-07-23,75.1976,70.4717,85.1545,-1.0330,-1.5166,-0.3697,NOAA_NCEI_OISST_V2.1,1
1995-07-24,75.2815,70.5125,85.1834,-1.0343,-1.5423,-0.3681,NOAA_NCEI_OISST_V2.1,1
1995-07-25,75.3654,70.5534,85.2122,-1.0357,-1.5680,-0.3665,NOAA_NCEI_OISST_V2.1,1
1995-07-26,75.4493,70.5942,85.2411,-1.0371,-1.5937,-0.3649,NOAA_NCEI_OISST_V2.1,1
1995-07-27,75.5331,70.6351,85.2699,-1.0385,-1.6195,-0.3633,NOAA_NCEI_OISST_V2.1,1
1995-07-28,75.6170,70.6759,85.2988,-1.0399,-1.6452,-0.3617,NOAA_NCEI_OISST_V2.1,1
1995-07-29,75.7009,70.7168,85.3276,-1.0412,-1.6709,-0.3601,NOAA_NCEI_OISST_V2.1,1
1995-07-30,75.7848,70.7577,85.3564,-1.0426,-1.6966,-0.3585,NOAA_NCEI_OISST_V2.1,1
1995-07-31,75.8686,70.7985,85.3853,-1.0440,-1.7223,-0.3569,NOAA_NCEI_OISST_V2.1,1
1995-08-01,75.9525,70.8394,85.4141,-1.0454,-1.7481,-0.3553,NOAA_NCEI_OISST_V2.1,1
1995-08-02,75.9759,70.8449,85.4433,-1.0270,-1.7555,-0.3259,NOAA_NCEI_OISST_V2.1,1
1995-08-03,75.9992,70.8505,85.4724,-0.9865,-1.7542,-0.2915,NOAA_NCEI_OISST_V2.1,1
1995-08-04,76.0226,70.8560,85.5016,-0.9461,-1.7530,-0.2570,NOAA_NCEI_OISST_V2.1,1
1995-08-05,76.0459,70.8616,85.5308,-0.9057,-1.7517,-0.2225,NOAA_NCEI_OISST_V2.1,1
1995-08-06,76.0693,70.8671,85.5599,-0.8652,-1.7505,-0.1880,NOAA_NCEI_OISST_V2.1,1
1995-08-07,76.0927,70.8727,85.5891,-0.8248,-1.7492,-0.1535,NOAA_NCEI_OISST_V2.1,1
1995-08-08,76.1160,70.8782,85.6182,-0.7844,-1.7480,-0.1191,NOAA_NCEI_OISST_V2.1,1
1995-08-09,76.1394,70.8838,85.6474,-0.7440,-1.7468,-0.0846,NOAA_NCEI_OISST_V2.1,1
1995-08-10,76.1627,70.8893,85.6765,-0.7035,-1.7455,-0.0501,NOAA_NCEI_OISST_V2.1,1
1995-08-11,76.1861,70.8949,85.7057,-0.6631,-1.7443,-0.0156,NOAA_NCEI_OISST_V2.1,1
1995-08-12,76.2094,70.9004,85.7349,-0.6227,-1.7430,0.0188,NOAA_NCEI_OISST_V2.1,1
1995-08-13,76.2328,70.9060,85.7640,-0.5822,-1.7418,0.0533,NOAA_NCEI_OISST_V2.1,1
1995-08-14,76.2562,70.9115,85.7932,-0.5418,-1.7405,0.0878,NOAA_NCEI_OISST_V2.1,1
1995-08-15,76.2795,70.9171,85.8223,-0.5014,-1.7393,0.1223,NOAA_NCEI_OISST_V2.1,1
1995-08-16,76.3029,70.9226,85.8515,-0.4610,-1.7380,0.1568,NOAA_NCEI_OISST_V2.1,1
1995-08-17,76.3262,70.9282,85.8806,-0.4205,-1.7368,0.1912,NOAA_NCEI_OISST_V2.1,1
