date,enso_nino34,pdo_index,nao_index,enso_phase
1995-02-26,0.227,0.461,1.118,Neutral
1995-02-27,0.231,0.46,1.127,Neutral
1995-02-28,0.236,0.456,1.136,Neutral
1995-03-01,0.245,0.446,1.144,Neutral
1995-03-02,0.256,0.432,1.151,Neutral
1995-03-03,0.27,0.413,1.159,Neutral
1995-03-04,0.286,0.39,1.166,Neutral
1995-03-05,0.304,0.363,1.172,Neutral
1995-03-06,0.325,0.332,1.178,Neutral
1995-03-07,0.348,0.297,1.183,Neutral
1995-03-08,0.372,0.26,1.188,Neutral
1995-03-09,0.398,0.219,1.192,Neutral
1995-03-10,0.426,0.177,1.195,Neutral
1995-03-11,0.455,0.132,1.197,Neutral
1995-03-12,0.486,0.085,1.199,Neutral
1995-03-13,0.517,0.037,1.199,El_Nino
1995-03-14,0.55,-0.013,1.199,El_Nino
1995-03-15,0.583,-0.063,1.197,El_Nino
1995-03-16,0.618,-0.115,1.195,El_Nino
1995-03-17,0.653,-0.166,1.191,El_Nino
1995-03-18,0.688,-0.217,1.186,El_Nino
1995-03-19,0.723,-0.269,1.18,El_Nino
1995-03-20,0.759,-0.319,1.173,El_Nino
1995-03-21,0.795,-0.369,1.164,El_Nino
1995-03-22,0.831,-0.418,1.154,El_Nino
1995-03-23,0.866,-0.465,1.143,El_Nino
1995-03-24,0.901,-0.51,1.13,El_Nino
1995-03-25,0.936,-0.553,1.116,El_Nino
1995-03-26,0.97,-0.593,1.1,El_Nino
1995-03-27,1.002,-0.631,1.082,El_Nino
1995-03-28,1.035,-0.666,1.063,El_Nino
1995-03-29,1.065,-0.698,1.042,El_Nino
1995-03-30,1.095,-0.725,1.02,El_Nino
1995-03-31,1.123,-0.749,0.995,El_Nino
1995-04-01,1.15,-0.769,0.969,El_Nino
1995-04-02,1.175,-0.784,0.94,El_Nino
1995-04-03,1.199,-0.794,0.91,El_Nino
1995-04-04,1.221,-0.801,0.879,El_Nino
1995-04-05,1.241,-0.804,0.846,El_Nino
1995-04-06,1.261,-0.803,0.812,El_Nino
1995-04-07,1.279,-0.799,0.776,El_Nino
1995-04-08,1.296,-0.791,0.74,El_Nino
1995-04-09,1.313,-0.781,0.703,El_Nino
1995-04-10,1.328,-0.768,0.665,El_Nino
1995-04-11,1.343,-0.753,0.627,El_Nino
1995-04-12,1.357,-0.736,0.588,El_Nino
1995-04-13,1.37,-0.716,0.55,El_Nino
1995-04-14,1.383,-0.696,0.511,El_Nino
1995-04-15,1.396,-0.673,0.473,El_Nino
1995-04-16,1.408,-0.65,0.435,El_Nino
1995-04-17,1.42,-0.626,0.397,El_Nino
1995-04-18,1.432,-0.601,0.361,El_Nino
1995-04-19,1.445,-0.575,0.325,El_Nino
1995-04-20,1.457,-0.55,0.29,El_Nino
1995-04-21,1.47,-0.524,0.256,El_Nino
1995-04-22,1.483,-0.499,0.224,El_Nino
1995-04-23,1.496,-0.475,0.193,El_Nino
1995-04-24,1.51,-0.451,0.164,El_Nino
1995-04-25,1.525,-0.428,0.137,El_Nino
1995-04-26,1.54,-0.407,0.111,El_Nino
1995-04-27,1.557,-0.387,0.088,El_Nino
1995-04-28,1.574,-0.369,0.067,El_Nino
1995-04-29,1.592,-0.353,0.049,El_Nino
1995-04-30,1.612,-0.339,0.033,El_Nino
1995-05-01,1.633,-0.328,0.021,El_Nino
1995-05-02,1.655,-0.319,0.011,El_Nino
1995-05-03,1.678,-0.314,0.004,El_Nino
1995-05-04,1.703,-0.31,-0.001,El_Nino
1995-05-05,1.728,-0.31,-0.003,El_Nino
1995-05-06,1.754,-0.311,-0.002,El_Nino
1995-05-07,1.781,-0.314,0.0,El_Nino
1995-05-08,1.809,-0.32,0.004,El_Nino
1995-05-09,1.837,-0.328,0.011,El_Nino
1995-05-10,1.866,-0.337,0.018,El_Nino
1995-05-11,1.894,-0.348,0.028,El_Nino
1995-05-12,1.923,-0.36,0.038,El_Nino
1995-05-13,1.951,-0.374,0.05,El_Nino
1995-05-14,1.98,-0.389,0.062,El_Nino
1995-05-15,2.007,-0.405,0.075,El_Nino
1995-05-16,2.035,-0.422,0.089,El_Nino
1995-05-17,2.062,-0.44,0.104,El_Nino
1995-05-18,2.088,-0.459,0.118,El_Nino
1995-05-19,2.113,-0.479,0.133,El_Nino
1995-05-20,2.137,-0.498,0.147,El_Nino
1995-05-21,2.16,-0.519,0.161,El_Nino
1995-05-22,2.182,-0.539,0.175,El_Nino
1995-05-23,2.202,-0.56,0.188,El_Nino
1995-05-24,2.221,-0.581,0.2,El_Nino
1995-05-25,2.238,-0.601,0.211,El_Nino
1995-05-26,2.253,-0.621,0.221,El_Nino
1995-05-27,2.266,-0.641,0.23,El_Nino
1995-05-28,2.278,-0.661,0.237,El_Nino
1995-05-29,2.287,-0.679,0.243,El_Nino
1995-05-30,2.293,-0.697,0.247,El_Nino
1995-05-31,2.297,-0.714,0.249,El_Nino
1995-06-01,2.299,-0.731,0.248,El_Nino
1995-06-02,2.298,-0.745,0.246,El_Nino
1995-06-03,2.294,-0.759,0.241,El_Nino
1995-06-04,2.288,-0.772,0.234,El_Nino
1995-06-05,2.279,-0.783,0.224,El_Nino
1995-06-06,2.268,-0.793,0.212,El_Nino
1995-06-07,2.256,-0.802,0.199,El_Nino
1995-06-08,2.241,-0.81,0.183,El_Nino
1995-06-09,2.225,-0.817,0.165,El_Nino
1995-06-10,2.207,-0.822,0.145,El_Nino
1995-06-11,2.188,-0.826,0.123,El_Nino
1995-06-12,2.168,-0.829,0.099,El_Nino
1995-06-13,2.146,-0.83,0.074,El_Nino
1995-06-14,2.124,-0.83,0.046,El_Nino
1995-06-15,2.1,-0.829,0.017,El_Nino
1995-06-16,2.076,-0.826,-0.014,El_Nino
1995-06-17,2.052,-0.822,-0.047,El_Nino
1995-06-18,2.027,-0.817,-0.081,El_Nino
1995-06-19,2.002,-0.811,-0.117,El_Nino
1995-06-20,1.977,-0.803,-0.155,El_Nino
1995-06-21,1.953,-0.793,-0.194,El_Nino
1995-06-22,1.928,-0.782,-0.235,El_Nino
1995-06-23,1.904,-0.77,-0.277,El_Nino
1995-06-24,1.88,-0.756,-0.32,El_Nino
1995-06-25,1.857,-0.741,-0.365,El_Nino
1995-06-26,1.835,-0.725,-0.411,El_Nino
1995-06-27,1.814,-0.707,-0.458,El_Nino
1995-06-28,1.794,-0.687,-0.507,El_Nino
1995-06-29,1.776,-0.666,-0.557,El_Nino
1995-06-30,1.759,-0.643,-0.608,El_Nino
1995-07-01,1.743,-0.619,-0.66,El_Nino
1995-07-02,1.73,-0.594,-0.713,El_Nino
1995-07-03,1.718,-0.567,-0.766,El_Nino
1995-07-04,1.707,-0.538,-0.821,El_Nino
1995-07-05,1.699,-0.508,-0.876,El_Nino
1995-07-06,1.691,-0.477,-0.932,El_Nino
1995-07-07,1.686,-0.445,-0.988,El_Nino
1995-07-08,1.681,-0.412,-1.044,El_Nino
1995-07-09,1.678,-0.378,-1.099,El_Nino
1995-07-10,1.676,-0.342,-1.155,El_Nino
1995-07-11,1.676,-0.306,-1.21,El_Nino
1995-07-12,1.677,-0.27,-1.265,El_Nino
1995-07-13,1.679,-0.232,-1.319,El_Nino
1995-07-14,1.681,-0.194,-1.372,El_Nino
1995-07-15,1.685,-0.156,-1.424,El_Nino
1995-07-16,1.69,-0.117,-1.474,El_Nino
1995-07-17,1.696,-0.077,-1.524,El_Nino
1995-07-18,1.702,-0.038,-1.571,El_Nino
1995-07-19,1.71,0.002,-1.617,El_Nino
1995-07-20,1.717,0.042,-1.662,El_Nino
1995-07-21,1.726,0.082,-1.704,El_Nino
1995-07-22,1.735,0.123,-1.744,El_Nino
1995-07-23,1.745,0.162,-1.781,El_Nino
1995-07-24,1.755,0.202,-1.816,El_Nino
1995-07-25,1.766,0.242,-1.849,El_Nino
1995-07-26,1.776,0.281,-1.878,El_Nino
1995-07-27,1.788,0.32,-1.905,El_Nino
1995-07-28,1.799,0.358,-1.928,El_Nino
1995-07-29,1.81,0.396,-1.948,El_Nino
1995-07-30,1.822,0.433,-1.965,El_Nino
1995-07-31,1.834,0.469,-1.978,El_Nino
1995-08-01,1.845,0.505,-1.987,El_Nino
1995-08-02,1.857,0.54,-1.992,El_Nino
1995-08-03,1.868,0.573,-1.993,El_Nino
1995-08-04,1.88,0.606,-1.991,El_Nino
1995-08-05,1.891,0.638,-1.986,El_Nino
1995-08-06,1.902,0.669,-1.978,El_Nino
1995-08-07,1.913,0.699,-1.968,El_Nino
1995-08-08,1.924,0.727,-1.955,El_Nino
1995-08-09,1.935,0.755,-1.94,El_Nino
1995-08-10,1.945,0.781,-1.923,El_Nino
1995-08-11,1.955,0.807,-1.905,El_Nino
1995-08-12,1.966,0.831,-1.885,El_Nino
1995-08-13,1.975,0.854,-1.865,El_Nino
1995-08-14,1.985,0.875,-1.844,El_Nino
1995-08-15,1.995,0.895,-1.823,El_Nino
1995-08-16,2.004,0.914,-1.801,El_Nino
1995-08-17,2.013,0.932,-1.78,El_Nino
1995-08-18,2.021,0.948,-1.759,El_Nino
1995-08-19,2.03,0.962,-1.739,El_Nino
1995-08-20,2.038,0.976,-1.72,El_Nino
1995-08-21,2.046,0.987,-1.702,El_Nino
1995-08-22,2.053,0.997,-1.686,El_Nino
1995-08-23,2.06,1.006,-1.672,El_Nino
1995-08-24,2.067,1.013,-1.66,El_Nino
1995-08-25,2.073,1.018,-1.65,El_Nino
1995-08-26,2.079,1.022,-1.643,El_Nino
1995-08-27,2.085,1.024,-1.639,El_Nino
1995-08-28,2.09,1.024,-1.638,El_Nino
1995-08-29,2.095,1.022,-1.64,El_Nino
1995-08-30,2.099,1.019,-1.647,El_Nino
1995-08-31,2.103,1.013,-1.657,El_Nino
1995-09-01,2.107,1.006,-1.672,El_Nino
1995-09-02,2.11,0.997,-1.692,El_Nino
1995-09-03,2.113,0.986,-1.715,El_Nino
1995-09-04,2.115,0.974,-1.742,El_Nino
1995-09-05,2.117,0.959,-1.773,El_Nino
1995-09-06,2.118,0.944,-1.806,El_Nino
1995-09-07,2.119,0.927,-1.842,El_Nino
1995-09-08,2.12,0.908,-1.88,El_Nino
1995-09-09,2.12,0.889,-1.919,El_Nino
1995-09-10,2.12,0.868,-1.959,El_Nino
1995-09-11,2.12,0.847,-2.0,El_Nino
1995-09-12,2.119,0.824,-2.042,El_Nino
1995-09-13,2.118,0.801,-2.082,El_Nino
1995-09-14,2.117,0.777,-2.122,El_Nino
1995-09-15,2.116,0.752,-2.161,El_Nino
1995-09-16,2.114,0.728,-2.199,El_Nino
1995-09-17,2.112,0.702,-2.234,El_Nino
1995-09-18,2.11,0.677,-2.267,El_Nino
1995-09-19,2.108,0.651,-2.297,El_Nino
1995-09-20,2.105,0.625,-2.323,El_Nino
1995-09-21,2.103,0.6,-2.345,El_Nino
1995-09-22,2.1,0.574,-2.364,El_Nino
1995-09-23,2.097,0.549,-2.377,El_Nino
1995-09-24,2.094,0.524,-2.386,El_Nino
1995-09-25,2.091,0.499,-2.388,El_Nino
1995-09-26,2.088,0.476,-2.385,El_Nino
1995-09-27,2.085,0.452,-2.375,El_Nino
1995-09-28,2.082,0.43,-2.358,El_Nino
1995-09-29,2.078,0.409,-2.334,El_Nino
1995-09-30,2.075,0.388,-2.302,El_Nino
1995-10-01,2.072,0.369,-2.261,El_Nino
1995-10-02,2.069,0.35,-2.212,El_Nino
1995-10-03,2.065,0.333,-2.155,El_Nino
1995-10-04,2.062,0.317,-2.091,El_Nino
1995-10-05,2.059,0.303,-2.019,El_Nino
1995-10-06,2.055,0.289,-1.942,El_Nino
1995-10-07,2.052,0.277,-1.858,El_Nino
1995-10-08,2.049,0.265,-1.77,El_Nino
1995-10-09,2.046,0.255,-1.678,El_Nino
1995-10-10,2.043,0.246,-1.582,El_Nino
1995-10-11,2.039,0.238,-1.482,El_Nino
1995-10-12,2.036,0.231,-1.381,El_Nino
1995-10-13,2.033,0.225,-1.277,El_Nino
1995-10-14,2.03,0.22,-1.173,El_Nino
1995-10-15,2.026,0.217,-1.068,El_Nino
1995-10-16,2.023,0.214,-0.963,El_Nino
1995-10-17,2.02,0.212,-0.858,El_Nino
1995-10-18,2.017,0.211,-0.756,El_Nino
1995-10-19,2.013,0.211,-0.655,El_Nino
1995-10-20,2.01,0.212,-0.557,El_Nino
1995-10-21,2.007,0.215,-0.462,El_Nino
1995-10-22,2.003,0.218,-0.371,El_Nino
1995-10-23,2.0,0.222,-0.285,El_Nino
1995-10-24,1.997,0.227,-0.203,El_Nino
1995-10-25,1.993,0.232,-0.128,El_Nino
1995-10-26,1.99,0.239,-0.059,El_Nino
1995-10-27,1.986,0.247,0.003,El_Nino
1995-10-28,1.983,0.255,0.057,El_Nino
1995-10-29,1.979,0.265,0.103,El_Nino
1995-10-30,1.976,0.275,0.139,El_Nino
1995-10-31,1.972,0.286,0.166,El_Nino
1995-11-01,1.969,0.298,0.183,El_Nino
1995-11-02,1.965,0.31,0.189,El_Nino
1995-11-03,1.961,0.324,0.185,El_Nino
1995-11-04,1.958,0.337,0.172,El_Nino
1995-11-05,1.955,0.352,0.15,El_Nino
1995-11-06,1.951,0.367,0.119,El_Nino
1995-11-07,1.948,0.382,0.082,El_Nino
1995-11-08,1.946,0.397,0.038,El_Nino
1995-11-09,1.943,0.412,-0.013,El_Nino
1995-11-10,1.942,0.427,-0.068,El_Nino
1995-11-11,1.94,0.442,-0.128,El_Nino
1995-11-12,1.939,0.456,-0.192,El_Nino
1995-11-13,1.939,0.47,-0.258,El_Nino
1995-11-14,1.94,0.484,-0.327,El_Nino
1995-11-15,1.941,0.497,-0.398,El_Nino
1995-11-16,1.943,0.509,-0.47,El_Nino
1995-11-17,1.945,0.52,-0.542,El_Nino
1995-11-18,1.949,0.53,-0.613,El_Nino
1995-11-19,1.953,0.54,-0.684,El_Nino
1995-11-20,1.959,0.548,-0.752,El_Nino
1995-11-21,1.966,0.554,-0.818,El_Nino
1995-11-22,1.973,0.559,-0.881,El_Nino
1995-11-23,1.982,0.563,-0.939,El_Nino
1995-11-24,1.992,0.565,-0.993,El_Nino
1995-11-25,2.004,0.565,-1.041,El_Nino
1995-11-26,2.017,0.564,-1.083,El_Nino
1995-11-27,2.031,0.56,-1.119,El_Nino
1995-11-28,2.047,0.554,-1.146,El_Nino
1995-11-29,2.064,0.546,-1.166,El_Nino
1995-11-30,2.082,0.536,-1.176,El_Nino
1995-12-01,2.103,0.523,-1.177,El_Nino
1995-12-02,2.125,0.508,-1.168,El_Nino
1995-12-03,2.149,0.49,-1.149,El_Nino
1995-12-04,2.174,0.47,-1.12,El_Nino
1995-12-05,2.2,0.449,-1.083,El_Nino
1995-12-06,2.228,0.425,-1.039,El_Nino
1995-12-07,2.257,0.4,-0.986,El_Nino
1995-12-08,2.288,0.374,-0.928,El_Nino
1995-12-09,2.319,0.347,-0.863,El_Nino
1995-12-10,2.351,0.319,-0.793,El_Nino
1995-12-11,2.385,0.291,-0.718,El_Nino
1995-12-12,2.419,0.262,-0.638,El_Nino
1995-12-13,2.453,0.233,-0.556,El_Nino
1995-12-14,2.489,0.204,-0.47,El_Nino
1995-12-15,2.524,0.175,-0.382,El_Nino
1995-12-16,2.561,0.147,-0.292,El_Nino
1995-12-17,2.597,0.119,-0.202,El_Nino
1995-12-18,2.634,0.093,-0.111,El_Nino
1995-12-19,2.671,0.067,-0.02,El_Nino
1995-12-20,2.708,0.043,0.07,El_Nino
1995-12-21,2.745,0.021,0.159,El_Nino
1995-12-22,2.781,-0.0,0.246,El_Nino
1995-12-23,2.818,-0.019,0.33,El_Nino
1995-12-24,2.854,-0.035,0.41,El_Nino
1995-12-25,2.89,-0.049,0.487,El_Nino
1995-12-26,2.925,-0.061,0.559,El_Nino
1995-12-27,2.96,-0.069,0.626,El_Nino
1995-12-28,2.994,-0.074,0.687,El_Nino
1995-12-29,3.027,-0.076,0.742,El_Nino
1995-12-30,3.06,-0.075,0.789,El_Nino
1995-12-31,3.091,-0.069,0.829,El_Nino
1996-01-01,3.121,-0.06,0.861,El_Nino
1996-01-02,3.151,-0.046,0.884,El_Nino
1996-01-03,3.179,-0.029,0.898,El_Nino
1996-01-04,3.205,-0.008,0.905,El_Nino
1996-01-05,3.231,0.016,0.905,El_Nino
1996-01-06,3.255,0.044,0.898,El_Nino
1996-01-07,3.277,0.074,0.885,El_Nino
1996-01-08,3.298,0.106,0.866,El_Nino
1996-01-09,3.317,0.141,0.843,El_Nino
1996-01-10,3.335,0.178,0.816,El_Nino
1996-01-11,3.35,0.216,0.785,El_Nino
1996-01-12,3.364,0.255,0.75,El_Nino
1996-01-13,3.376,0.296,0.714,El_Nino
1996-01-14,3.385,0.337,0.675,El_Nino
1996-01-15,3.393,0.378,0.635,El_Nino
1996-01-16,3.398,0.42,0.594,El_Nino
1996-01-17,3.402,0.462,0.553,El_Nino
1996-01-18,3.402,0.502,0.513,El_Nino
1996-01-19,3.401,0.543,0.473,El_Nino
1996-01-20,3.396,0.582,0.435,El_Nino
1996-01-21,3.39,0.62,0.399,El_Nino
1996-01-22,3.38,0.656,0.366,El_Nino
1996-01-23,3.368,0.69,0.337,El_Nino
1996-01-24,3.353,0.722,0.311,El_Nino
1996-01-25,3.336,0.751,0.29,El_Nino
1996-01-26,3.315,0.778,0.274,El_Nino
1996-01-27,3.291,0.801,0.263,El_Nino
1996-01-28,3.264,0.822,0.259,El_Nino
1996-01-29,3.234,0.838,0.262,El_Nino
1996-01-30,3.201,0.85,0.272,El_Nino
1996-01-31,3.164,0.859,0.29,El_Nino
1996-02-01,3.124,0.862,0.317,El_Nino
1996-02-02,3.081,0.861,0.352,El_Nino
1996-02-03,3.034,0.855,0.396,El_Nino
1996-02-04,2.985,0.845,0.448,El_Nino
1996-02-05,2.933,0.831,0.507,El_Nino
1996-02-06,2.879,0.813,0.572,El_Nino
1996-02-07,2.822,0.791,0.642,El_Nino
1996-02-08,2.765,0.767,0.717,El_Nino
1996-02-09,2.706,0.739,0.796,El_Nino
1996-02-10,2.646,0.709,0.878,El_Nino
1996-02-11,2.586,0.676,0.962,El_Nino
1996-02-12,2.525,0.642,1.048,El_Nino
1996-02-13,2.464,0.605,1.135,El_Nino
1996-02-14,2.404,0.567,1.223,El_Nino
1996-02-15,2.344,0.527,1.309,El_Nino
1996-02-16,2.285,0.487,1.395,El_Nino
1996-02-17,2.227,0.446,1.478,El_Nino
1996-02-18,2.171,0.404,1.558,El_Nino
1996-02-19,2.117,0.362,1.635,El_Nino
1996-02-20,2.065,0.321,1.708,El_Nino
1996-02-21,2.016,0.279,1.775,El_Nino
1996-02-22,1.97,0.239,1.837,El_Nino
1996-02-23,1.927,0.199,1.892,El_Nino
1996-02-24,1.887,0.16,1.939,El_Nino
1996-02-25,1.851,0.123,1.979,El_Nino
1996-02-26,1.819,0.088,2.01,El_Nino
1996-02-27,1.792,0.055,2.031,El_Nino
1996-02-28,1.769,0.024,2.042,El_Nino
1996-02-29,1.752,-0.005,2.041,El_Nino
1996-03-01,1.74,-0.031,2.029,El_Nino
1996-03-02,1.733,-0.053,2.005,El_Nino
1996-03-03,1.732,-0.073,1.969,El_Nino
1996-03-04,1.736,-0.089,1.921,El_Nino
1996-03-05,1.745,-0.103,1.864,El_Nino
1996-03-06,1.758,-0.115,1.798,El_Nino
1996-03-07,1.776,-0.124,1.723,El_Nino
1996-03-08,1.797,-0.13,1.641,El_Nino
1996-03-09,1.822,-0.135,1.552,El_Nino
1996-03-10,1.849,-0.137,1.458,El_Nino
1996-03-11,1.88,-0.138,1.358,El_Nino
1996-03-12,1.913,-0.136,1.255,El_Nino
1996-03-13,1.948,-0.133,1.148,El_Nino
1996-03-14,1.985,-0.129,1.038,El_Nino
1996-03-15,2.024,-0.123,0.928,El_Nino
1996-03-16,2.064,-0.116,0.816,El_Nino
1996-03-17,2.104,-0.108,0.705,El_Nino
1996-03-18,2.146,-0.098,0.595,El_Nino
1996-03-19,2.187,-0.088,0.486,El_Nino
1996-03-20,2.228,-0.078,0.38,El_Nino
1996-03-21,2.269,-0.066,0.278,El_Nino
1996-03-22,2.31,-0.054,0.18,El_Nino
1996-03-23,2.349,-0.042,0.088,El_Nino
1996-03-24,2.387,-0.03,0.002,El_Nino
1996-03-25,2.423,-0.018,-0.078,El_Nino
1996-03-26,2.457,-0.006,-0.149,El_Nino
1996-03-27,2.489,0.007,-0.212,El_Nino
1996-03-28,2.518,0.018,-0.266,El_Nino
1996-03-29,2.544,0.029,-0.309,El_Nino
1996-03-30,2.567,0.04,-0.341,El_Nino
1996-03-31,2.586,0.05,-0.36,El_Nino
1996-04-01,2.601,0.058,-0.367,El_Nino
1996-04-02,2.612,0.066,-0.361,El_Nino
1996-04-03,2.619,0.073,-0.341,El_Nino
1996-04-04,2.622,0.079,-0.309,El_Nino
1996-04-05,2.621,0.085,-0.267,El_Nino
1996-04-06,2.617,0.089,-0.213,El_Nino
1996-04-07,2.61,0.093,-0.15,El_Nino
1996-04-08,2.6,0.097,-0.079,El_Nino
1996-04-09,2.587,0.1,0.0,El_Nino
1996-04-10,2.572,0.102,0.087,El_Nino
1996-04-11,2.554,0.105,0.179,El_Nino
1996-04-12,2.534,0.107,0.277,El_Nino
1996-04-13,2.512,0.109,0.379,El_Nino
1996-04-14,2.488,0.111,0.485,El_Nino
1996-04-15,2.463,0.113,0.593,El_Nino
1996-04-16,2.437,0.115,0.704,El_Nino
1996-04-17,2.41,0.117,0.815,El_Nino
1996-04-18,2.381,0.12,0.927,El_Nino
1996-04-19,2.353,0.123,1.038,El_Nino
1996-04-20,2.323,0.126,1.148,El_Nino
1996-04-21,2.294,0.131,1.256,El_Nino
1996-04-22,2.265,0.135,1.36,El_Nino
1996-04-23,2.235,0.141,1.46,El_Nino
1996-04-24,2.207,0.147,1.555,El_Nino
1996-04-25,2.179,0.154,1.645,El_Nino
1996-04-26,2.152,0.162,1.728,El_Nino
1996-04-27,2.126,0.171,1.804,El_Nino
1996-04-28,2.101,0.181,1.871,El_Nino
1996-04-29,2.078,0.192,1.929,El_Nino
1996-04-30,2.057,0.205,1.978,El_Nino
1996-05-01,2.037,0.219,2.015,El_Nino
1996-05-02,2.02,0.234,2.042,El_Nino
1996-05-03,2.005,0.251,2.057,El_Nino
1996-05-04,1.992,0.269,2.061,El_Nino
1996-05-05,1.98,0.288,2.056,El_Nino
1996-05-06,1.971,0.308,2.04,El_Nino
1996-05-07,1.963,0.329,2.016,El_Nino
1996-05-08,1.956,0.351,1.983,El_Nino
1996-05-09,1.951,0.374,1.942,El_Nino
1996-05-10,1.947,0.398,1.894,El_Nino
1996-05-11,1.945,0.422,1.838,El_Nino
1996-05-12,1.943,0.446,1.776,El_Nino
1996-05-13,1.943,0.471,1.708,El_Nino
1996-05-14,1.943,0.496,1.634,El_Nino
1996-05-15,1.944,0.521,1.556,El_Nino
1996-05-16,1.946,0.547,1.473,El_Nino
1996-05-17,1.949,0.572,1.385,El_Nino
1996-05-18,1.951,0.597,1.295,El_Nino
1996-05-19,1.954,0.622,1.201,El_Nino
1996-05-20,1.957,0.647,1.105,El_Nino
1996-05-21,1.961,0.671,1.007,El_Nino
1996-05-22,1.964,0.695,0.908,El_Nino
1996-05-23,1.967,0.718,0.807,El_Nino
1996-05-24,1.97,0.74,0.707,El_Nino
1996-05-25,1.973,0.761,0.606,El_Nino
1996-05-26,1.975,0.782,0.506,El_Nino
1996-05-27,1.976,0.802,0.407,El_Nino
1996-05-28,1.977,0.82,0.309,El_Nino
1996-05-29,1.977,0.837,0.214,El_Nino
1996-05-30,1.977,0.853,0.121,El_Nino
1996-05-31,1.975,0.868,0.032,El_Nino
1996-06-01,1.972,0.881,-0.054,El_Nino
1996-06-02,1.968,0.892,-0.136,El_Nino
1996-06-03,1.962,0.902,-0.214,El_Nino
1996-06-04,1.956,0.91,-0.287,El_Nino
1996-06-05,1.948,0.917,-0.357,El_Nino
1996-06-06,1.94,0.922,-0.423,El_Nino
1996-06-07,1.93,0.926,-0.486,El_Nino
1996-06-08,1.919,0.928,-0.544,El_Nino
1996-06-09,1.908,0.929,-0.599,El_Nino
1996-06-10,1.896,0.928,-0.651,El_Nino
1996-06-11,1.883,0.927,-0.699,El_Nino
1996-06-12,1.87,0.923,-0.744,El_Nino
1996-06-13,1.855,0.919,-0.786,El_Nino
1996-06-14,1.84,0.913,-0.825,El_Nino
1996-06-15,1.825,0.906,-0.861,El_Nino
1996-06-16,1.809,0.898,-0.894,El_Nino
1996-06-17,1.793,0.889,-0.924,El_Nino
1996-06-18,1.776,0.878,-0.951,El_Nino
1996-06-19,1.759,0.867,-0.976,El_Nino
1996-06-20,1.742,0.854,-0.998,El_Nino
1996-06-21,1.725,0.84,-1.017,El_Nino
1996-06-22,1.707,0.826,-1.034,El_Nino
1996-06-23,1.689,0.81,-1.049,El_Nino
1996-06-24,1.671,0.793,-1.062,El_Nino
1996-06-25,1.654,0.775,-1.072,El_Nino
