date,seattle_dewpoint_f,seattle_windspeed_mph,seattle_pressure_hpa,seattle_humidity_pct,new_york_dewpoint_f,new_york_windspeed_mph,new_york_pressure_hpa,new_york_humidity_pct,phoenix_dewpoint_f,phoenix_windspeed_mph,phoenix_pressure_hpa,phoenix_humidity_pct
1995-01-31,39.8,13.0,1022.7,87.4,36.5,15.0,1021.8,67.2,24.4,11.4,1022.3,37.2
1995-02-01,42.4,16.8,1020.4,77.8,40.6,22.9,1022.3,78.9,30.3,16.5,1024.1,15.7
1995-02-02,41.3,18.3,1017.5,76.1,38.8,13.7,1011.1,65.7,31.3,10.9,1014.4,18.3
1995-02-03,42.0,13.6,1013.0,82.0,32.2,15.2,1029.5,71.7,30.1,11.6,1022.9,27.1
1995-02-04,37.6,14.0,1017.1,92.7,39.5,13.3,1014.8,61.5,28.9,14.5,1019.1,15.5
1995-02-05,41.7,14.6,1026.1,73.6,42.6,12.8,1016.4,63.9,30.7,10.6,1016.4,29.0
1995-02-06,40.9,14.5,1025.5,64.0,39.2,13.2,1019.1,89.4,26.4,12.4,1019.9,24.5
1995-02-07,37.6,13.7,1015.0,79.8,36.7,12.6,1020.5,78.4,33.0,13.4,1018.1,15.5
1995-02-08,44.0,14.1,1007.2,84.9,44.2,13.2,1013.1,74.6,31.7,11.7,1029.2,11.5
1995-02-09,39.9,13.1,1015.5,73.8,38.4,12.4,1016.0,87.8,31.0,24.0,1014.6,21.8
1995-02-10,35.9,18.8,1000.8,82.8,37.4,12.8,1022.4,71.9,26.2,10.6,1020.8,17.2
1995-02-11,42.2,15.1,1020.1,79.7,39.6,14.3,1008.8,85.6,27.9,11.3,1019.4,16.4
1995-02-12,41.7,12.4,1013.6,81.2,41.7,13.4,1022.5,82.7,32.3,12.2,1020.2,24.7
1995-02-13,39.9,12.4,1010.8,82.9,37.6,13.6,1025.5,71.8,26.7,10.8,1026.3,22.5
1995-02-14,42.2,13.0,1009.4,83.6,39.1,12.8,1015.1,74.8,28.4,15.1,1013.5,15.2
1995-02-15,38.8,11.2,1013.2,74.9,42.1,21.5,1021.0,88.5,30.9,11.7,1022.1,16.9
1995-02-16,42.2,25.4,1009.5,91.2,38.3,20.0,1019.8,53.0,29.3,17.1,1018.7,19.7
1995-02-17,43.0,13.0,1019.6,83.5,40.8,13.5,1021.2,65.6,32.0,10.7,1017.7,23.5
1995-02-18,42.1,15.5,1002.8,84.2,38.5,20.8,1028.9,69.9,31.3,13.3,1016.6,9.0
1995-02-19,41.4,11.5,1019.4,98.6,41.1,14.0,1004.4,65.1,27.3,13.9,1015.9,9.4
1995-02-20,41.1,13.8,1020.9,93.8,35.1,13.2,1009.3,71.9,33.2,11.1,1016.5,19.3
1995-02-21,45.2,12.4,1020.2,81.5,37.3,27.9,1008.2,62.9,23.8,17.9,1020.9,27.5
1995-02-22,40.4,17.5,1010.6,78.8,37.8,13.8,1008.3,71.2,33.1,12.4,1030.6,14.0
1995-02-23,42.1,18.9,1014.7,81.7,42.0,12.1,1017.0,65.0,26.7,12.6,1018.8,23.6
1995-02-24,41.8,13.7,1014.4,68.1,43.3,14.9,1015.7,79.3,30.6,11.8,1029.6,18.3
1995-02-25,43.0,10.9,1006.1,87.7,40.9,12.5,1017.0,82.5,27.4,12.7,1021.2,12.0
1995-02-26,45.4,12.6,1009.1,73.0,37.0,15.0,1003.0,84.0,29.0,10.5,1021.0,21.6
1995-02-27,45.5,10.7,1019.3,80.5,46.9,11.8,1012.2,69.6,26.9,13.9,1017.1,17.1
1995-02-28,44.2,12.8,1009.0,87.3,42.2,12.0,1026.0,50.4,33.6,14.3,1019.1,34.6
1995-03-01,43.4,12.7,1024.3,80.9,45.6,12.9,1015.9,71.3,27.4,10.4,1020.4,28.8
1995-03-02,43.9,12.2,1018.2,72.0,45.9,14.9,1017.8,53.8,26.6,9.7,1028.6,21.0
1995-03-03,46.6,11.7,1009.1,69.7,38.5,15.1,1019.8,80.6,33.4,12.6,1026.5,5.0
1995-03-04,40.5,13.0,1021.1,75.4,41.0,15.1,1013.3,72.2,28.2,14.8,1018.5,21.3
1995-03-05,42.6,11.0,1014.9,76.1,47.9,13.9,1010.6,67.0,33.1,21.4,1013.2,9.2
1995-03-06,41.8,10.4,1022.7,80.3,43.3,12.8,1014.7,65.7,29.9,9.8,1021.6,13.8
1995-03-07,45.3,14.9,1015.8,74.2,44.3,18.5,1019.3,75.7,38.8,17.3,1028.5,22.5
1995-03-08,43.2,14.9,1019.5,73.9,45.2,13.4,1017.2,60.2,31.9,9.6,1019.8,11.7
1995-03-09,40.0,12.8,1018.5,61.7,45.4,16.6,1019.4,66.8,30.7,25.9,1015.3,18.9
1995-03-10,42.6,15.5,1013.1,87.3,43.8,13.4,1009.9,57.8,25.0,9.9,1009.1,5.8
1995-03-11,44.7,12.3,1013.2,71.3,42.2,17.9,1017.0,71.8,32.8,11.1,1028.0,14.0
1995-03-12,45.6,10.1,1017.3,86.9,43.1,11.2,1019.2,68.8,31.1,9.2,1017.7,14.9
1995-03-13,44.2,10.5,1016.9,87.7,46.7,12.1,1013.5,63.4,37.0,10.7,1021.0,22.8
1995-03-14,42.4,11.8,1022.1,81.2,41.6,16.3,1009.0,56.3,34.5,9.7,1012.9,17.6
1995-03-15,48.5,15.9,1019.3,89.2,42.0,15.0,1022.1,71.3,32.7,10.9,1014.7,12.3
1995-03-16,46.4,10.6,1017.1,76.0,44.6,19.2,1008.0,83.2,31.5,15.1,1012.3,22.3
1995-03-17,46.4,9.9,1004.8,70.2,44.1,14.0,1024.0,73.4,33.2,13.7,1023.6,33.9
1995-03-18,46.1,11.4,1019.6,68.2,47.4,21.7,1014.1,66.9,31.6,10.1,1004.3,24.6
1995-03-19,42.8,9.9,1015.2,66.6,52.8,19.4,1007.8,76.6,34.4,11.7,1011.3,24.4
1995-03-20,46.0,12.1,1011.3,73.2,48.6,19.8,1011.5,60.7,36.2,9.9,1013.7,18.2
1995-03-21,40.2,9.8,1013.5,73.4,46.3,14.0,1006.6,58.0,34.7,8.7,1018.0,18.7
1995-03-22,47.1,9.6,998.6,80.3,39.2,18.3,999.8,56.8,24.3,8.6,1019.6,10.5
1995-03-23,38.0,18.1,1022.9,76.1,47.3,12.5,1003.4,59.5,29.9,11.3,1010.8,5.0
1995-03-24,44.5,12.8,1015.9,75.5,45.5,23.4,1006.3,66.4,30.1,10.5,1023.4,7.3
1995-03-25,46.7,9.8,1024.5,78.6,50.7,11.1,1030.7,86.8,33.6,19.9,1025.0,26.7
1995-03-26,47.4,11.8,1028.8,65.8,45.7,11.6,1016.0,84.6,37.0,10.7,1017.3,35.1
1995-03-27,43.8,10.2,997.5,82.6,45.6,12.8,1008.8,70.8,39.9,15.0,1013.2,23.9
1995-03-28,45.4,13.6,1009.3,65.5,50.6,21.6,1026.0,68.5,38.8,9.9,1007.7,18.0
1995-03-29,44.1,14.3,1011.8,76.9,47.8,13.2,1005.1,72.1,30.9,14.5,1013.6,14.9
1995-03-30,50.3,11.3,1013.7,63.7,48.6,10.4,1017.0,72.8,36.9,13.8,1022.3,10.3
1995-03-31,45.9,10.7,1007.5,97.3,47.3,13.5,1011.0,57.9,34.9,8.8,1015.4,20.3
1995-04-01,47.6,10.2,1019.9,78.6,52.0,20.8,1013.9,53.4,32.6,8.7,1021.8,20.9
1995-04-02,48.5,9.1,1021.3,78.8,47.4,12.0,1011.7,62.6,37.3,8.3,1010.3,15.6
1995-04-03,49.8,11.4,1003.7,70.6,51.2,11.2,1011.6,55.8,35.2,8.6,1008.6,17.4
1995-04-04,49.6,11.0,1017.4,73.7,45.2,13.1,1004.6,69.0,28.5,14.1,1011.0,19.8
1995-04-05,49.9,9.6,1005.5,73.5,48.6,13.9,1019.5,34.8,33.5,12.4,1016.2,20.3
1995-04-06,45.7,11.1,1014.8,68.4,53.0,11.6,1006.3,65.4,30.7,11.7,1009.9,11.9
1995-04-07,49.9,10.6,1007.4,96.7,53.1,10.0,1011.7,75.2,38.2,10.0,1011.8,14.5
1995-04-08,45.5,9.6,1018.4,63.1,50.2,11.3,1009.9,48.6,35.8,8.8,1010.1,8.6
1995-04-09,50.2,12.7,1018.8,71.5,53.6,12.0,1014.6,46.8,39.5,10.0,1006.9,24.8
1995-04-10,52.5,9.4,1012.9,78.3,53.0,12.2,1002.6,63.7,35.8,12.6,1017.7,16.0
1995-04-11,46.8,10.3,1021.5,72.1,53.2,13.8,1014.6,63.6,36.5,8.8,1009.0,19.5
1995-04-12,46.1,10.8,1009.9,81.9,50.3,9.6,1005.6,65.0,34.3,8.3,1025.0,25.3
1995-04-13,54.0,13.5,1015.2,72.9,50.4,17.0,1004.3,58.6,38.6,10.9,1021.4,19.3
1995-04-14,48.5,10.0,1014.8,85.5,51.9,12.7,999.6,55.1,37.4,8.1,1017.4,23.3
1995-04-15,51.6,9.0,1011.2,61.4,52.1,12.0,1020.5,64.7,41.1,11.4,1017.3,17.7
1995-04-16,46.3,8.3,1015.9,64.8,53.2,9.9,1011.3,51.6,37.5,8.8,1015.1,14.4
1995-04-17,52.8,9.1,1016.6,67.0,55.2,9.7,1019.5,57.9,40.8,8.5,1012.4,22.5
1995-04-18,53.4,12.4,1008.0,86.6,53.7,12.1,1013.1,51.7,41.8,12.5,1017.3,22.6
1995-04-19,54.8,13.3,1013.6,64.6,53.5,13.6,1011.9,53.6,32.2,7.6,1011.4,17.0
1995-04-20,55.5,10.9,1011.1,87.0,55.0,14.1,1012.8,40.6,43.7,9.8,1015.3,15.1
1995-04-21,48.9,16.9,1012.4,60.7,61.1,12.0,1007.9,64.2,38.1,7.6,1010.0,15.6
1995-04-22,54.4,10.2,1020.8,63.3,54.0,10.5,1023.7,76.3,36.7,10.4,1012.1,23.9
1995-04-23,52.8,9.9,1005.1,72.9,53.6,9.5,1016.5,77.0,38.8,7.0,1012.6,27.7
1995-04-24,51.5,13.3,1018.5,73.2,56.4,11.8,1011.3,56.2,36.0,13.2,1016.7,16.0
1995-04-25,52.4,8.4,1008.5,82.3,56.3,10.3,1010.8,60.7,35.5,8.3,1015.1,18.8
1995-04-26,57.1,7.9,1008.5,81.6,57.6,14.6,1020.4,65.6,40.3,7.5,1007.5,25.4
1995-04-27,49.9,14.2,1008.5,69.9,59.2,11.2,1003.5,55.8,30.7,9.5,1017.5,10.2
1995-04-28,52.7,10.0,1010.3,69.0,50.8,9.6,1027.3,47.3,37.1,7.5,1008.1,23.4
1995-04-29,55.3,11.8,1011.3,71.0,63.5,14.9,1011.9,63.0,44.3,9.7,1018.4,12.7
1995-04-30,53.4,10.6,1006.5,69.6,58.6,17.2,1025.3,54.2,37.7,9.3,1013.6,11.3
1995-05-01,49.5,10.8,997.1,78.1,58.9,9.3,1025.8,63.6,40.2,10.7,1007.4,25.1
1995-05-02,53.1,10.2,1013.1,67.2,57.4,11.3,1011.0,63.9,42.1,10.1,1013.1,22.8
1995-05-03,48.7,11.4,1008.7,79.7,56.5,15.1,1005.9,50.3,41.4,6.8,1010.0,16.2
1995-05-04,52.2,7.8,1003.8,75.8,59.1,15.5,1009.0,66.2,38.2,8.2,1008.4,37.6
1995-05-05,50.3,8.3,1009.2,72.6,56.3,11.5,999.5,48.9,43.7,8.0,1016.6,14.5
1995-05-06,51.9,9.3,1009.6,61.6,58.4,11.0,1009.9,69.1,40.9,10.0,1009.8,11.1
1995-05-07,56.2,11.1,1023.7,48.6,54.4,8.5,1012.9,54.6,42.1,8.7,1012.1,27.5
1995-05-08,52.5,8.4,1013.6,67.3,55.6,12.9,1014.4,56.5,39.4,9.8,1006.5,26.1
1995-05-09,53.8,12.2,1016.0,70.1,63.7,8.9,1010.6,49.2,42.1,11.5,1013.6,15.4
1995-05-10,58.1,7.4,1011.1,71.6,60.9,15.7,1021.1,58.4,38.4,6.4,1014.1,23.8
1995-05-11,54.9,11.8,1010.8,71.9,60.0,13.6,999.5,51.1,41.9,11.2,1014.5,18.3
1995-05-12,54.2,10.7,1011.8,72.4,56.6,26.1,1011.4,52.3,37.3,6.7,1008.4,22.9
1995-05-13,53.7,7.3,1002.3,74.0,63.2,10.8,1018.2,52.6,37.7,6.8,1005.6,16.4
1995-05-14,55.5,7.1,1006.8,66.1,55.9,10.2,1018.4,68.9,41.4,6.0,1011.9,15.1
1995-05-15,58.0,12.5,1005.8,61.2,56.5,9.3,1023.7,74.0,41.5,6.6,1017.2,16.6
1995-05-16,52.5,7.4,1005.6,64.4,57.6,8.1,1013.4,63.6,41.7,6.1,1012.4,17.7
1995-05-17,55.9,7.8,1002.2,72.6,60.3,11.4,1006.5,49.9,39.2,9.1,1017.1,18.9
1995-05-18,51.9,13.7,1005.5,66.9,61.4,18.2,1015.1,58.9,42.8,7.6,1009.5,19.5
1995-05-19,50.6,8.1,1015.7,65.2,61.5,10.1,1001.5,61.7,40.3,7.1,1006.3,17.5
1995-05-20,56.1,9.1,999.5,78.7,58.8,9.0,1007.6,51.9,36.9,6.3,1004.4,23.5
1995-05-21,55.8,6.9,1012.8,73.5,62.9,11.7,1007.5,71.8,42.1,6.5,1016.7,20.3
1995-05-22,50.8,9.3,1022.4,71.2,70.5,12.1,1009.6,52.3,42.5,11.6,1016.7,13.5
1995-05-23,53.4,10.5,1022.1,85.3,53.9,12.1,1003.7,38.1,43.8,6.9,1011.4,27.2
1995-05-24,54.4,9.2,1008.8,73.4,60.2,18.8,1012.9,57.9,42.2,13.6,1010.0,21.2
1995-05-25,57.0,11.6,1010.2,80.8,58.4,8.1,1004.0,67.7,46.3,7.1,1013.9,5.0
1995-05-26,59.6,11.1,1018.6,52.3,58.9,13.4,1017.2,64.4,40.6,10.5,1015.5,20.6
1995-05-27,52.9,8.5,1003.9,52.9,59.6,7.9,1005.3,48.9,40.5,9.5,1013.9,16.7
1995-05-28,55.6,9.7,1018.4,65.7,57.3,11.8,1012.9,78.0,42.0,11.1,1009.2,16.6
1995-05-29,60.6,7.5,1008.6,68.2,59.8,12.4,1022.2,37.4,45.6,5.8,1015.1,20.0
1995-05-30,59.6,7.8,1019.0,73.8,63.2,9.3,1009.8,47.2,40.2,11.5,1018.5,15.3
1995-05-31,50.7,9.4,1004.0,66.6,64.6,11.9,1020.4,50.3,36.6,9.1,1003.5,30.8
1995-06-01,55.7,9.7,1012.7,69.8,57.7,8.2,1009.8,53.0,38.8,9.6,1016.7,29.8
1995-06-02,57.7,6.7,1016.1,68.5,68.1,7.5,1018.5,56.8,41.8,6.0,1013.3,31.8
1995-06-03,58.6,11.5,1009.1,63.6,56.8,8.1,1017.3,41.4,38.1,6.7,1010.6,32.4
1995-06-04,59.6,9.4,1000.0,86.4,57.5,7.9,1009.9,53.0,41.9,6.8,1006.6,34.3
1995-06-05,52.6,7.5,1014.3,74.6,64.5,13.7,1007.2,62.4,47.5,6.3,1008.9,29.3
1995-06-06,57.5,7.1,1012.6,66.9,68.8,8.4,1007.6,57.3,45.2,9.7,1012.3,31.7
1995-06-07,57.7,9.1,1004.1,65.8,66.3,11.8,1006.9,55.9,41.6,12.3,1010.3,14.0
1995-06-08,60.0,9.8,1010.4,97.2,61.6,13.5,1002.1,64.6,52.0,9.2,1015.4,16.0
1995-06-09,58.5,14.2,1008.5,61.7,67.3,18.1,1011.2,48.8,40.8,7.4,1007.3,8.3
1995-06-10,58.5,6.8,1003.5,65.2,63.2,13.3,997.7,55.9,43.5,9.0,1008.9,29.2
1995-06-11,58.3,8.3,1002.5,71.3,59.6,13.7,1016.9,57.4,41.5,11.0,1004.0,25.8
1995-06-12,57.4,15.5,998.8,56.7,58.3,8.7,1013.3,36.9,40.9,6.2,1013.3,33.1
1995-06-13,60.4,13.4,1013.1,74.2,68.8,8.4,1011.0,30.8,41.0,5.9,1006.1,21.6
1995-06-14,55.0,8.1,1004.8,67.5,60.5,9.1,1010.9,67.7,42.3,5.3,1014.8,28.5
1995-06-15,60.7,8.5,1011.6,72.5,61.0,11.1,994.6,65.8,43.5,7.7,1013.0,18.7
1995-06-16,57.1,13.6,1014.3,64.3,63.8,8.4,1006.5,57.6,40.9,5.5,1009.0,11.1
1995-06-17,56.3,6.2,1003.2,76.5,60.2,7.2,1010.9,45.1,43.1,8.2,1006.5,19.7
1995-06-18,57.2,17.3,1007.6,64.2,68.4,9.9,1022.9,66.8,44.8,6.2,1015.4,31.3
1995-06-19,57.3,17.4,1000.9,66.4,63.2,7.2,1015.4,38.9,46.8,5.8,1008.7,22.1
1995-06-20,62.3,14.7,1013.2,84.1,65.1,12.4,1006.6,61.1,42.4,5.7,1013.7,14.1
1995-06-21,54.8,16.2,999.2,62.4,63.8,7.5,994.6,52.9,40.6,5.2,1015.6,24.0
1995-06-22,54.6,7.1,1009.7,65.4,67.8,15.6,1012.8,49.4,46.3,9.7,1017.2,21.7
1995-06-23,55.2,6.2,1006.0,65.1,62.0,9.8,1008.9,46.9,41.6,7.2,1015.4,32.8
1995-06-24,57.3,7.0,1013.1,66.7,66.6,10.6,1011.8,55.6,40.6,5.5,1006.8,25.9
1995-06-25,55.9,7.3,1007.6,74.2,67.6,8.6,1015.1,37.7,37.6,5.4,1010.0,21.3
1995-06-26,51.9,7.3,1019.9,63.8,64.4,10.7,1012.7,61.7,46.6,11.1,1018.3,27.0
1995-06-27,56.2,9.4,1007.4,64.0,67.2,8.0,1007.7,61.1,43.7,5.7,1014.3,18.1
1995-06-28,55.1,12.0,1008.9,81.3,64.7,12.9,1017.1,54.3,37.3,13.3,1009.5,19.2
1995-06-29,60.5,6.8,1013.0,69.8,68.4,8.4,998.3,61.2,41.3,9.7,1007.2,30.7
1995-06-30,59.6,7.8,1011.0,65.6,59.8,10.5,1004.2,56.1,42.3,12.7,1006.7,23.2
1995-07-01,58.9,7.4,1003.3,73.2,61.8,11.5,1014.0,50.1,41.5,5.5,1010.0,29.2
1995-07-02,53.7,10.3,1009.8,70.8,64.5,8.3,1010.1,49.5,48.9,9.7,1001.5,31.1
1995-07-03,61.5,7.1,1004.6,65.5,58.3,10.6,989.1,49.5,41.2,6.3,1010.2,18.9
1995-07-04,56.0,6.2,1018.7,76.8,64.0,8.6,992.4,55.9,47.2,13.4,1003.2,24.6
1995-07-05,60.0,7.2,995.1,44.9,64.0,9.7,1009.6,57.5,40.7,5.7,1001.4,31.2
1995-07-06,59.5,7.3,1015.5,79.2,61.0,12.4,998.5,51.2,41.8,6.3,1012.4,28.6
1995-07-07,56.0,11.2,1007.7,64.7,62.0,11.6,1006.5,65.6,41.4,5.4,1014.3,33.8
1995-07-08,58.8,8.4,1000.3,70.3,62.3,8.0,1006.7,63.2,41.3,5.4,1009.1,40.8
1995-07-09,58.2,8.2,1000.1,66.3,66.1,11.3,998.7,70.2,42.5,5.8,1000.1,32.1
1995-07-10,60.6,8.8,1008.9,64.8,66.5,12.9,1003.6,77.1,41.2,6.9,1005.1,29.3
1995-07-11,56.2,8.5,1000.9,52.0,61.6,7.6,1004.2,50.9,45.1,5.1,1009.7,19.6
1995-07-12,58.3,9.5,1010.9,77.8,69.1,7.2,1006.4,55.8,45.0,18.3,1007.6,14.9
1995-07-13,55.3,13.1,1005.7,64.4,66.7,9.1,1000.3,47.6,47.6,7.7,1013.8,18.6
1995-07-14,60.9,12.3,1010.1,76.4,60.9,8.1,997.9,68.8,41.9,8.5,998.9,26.6
1995-07-15,57.5,8.1,999.2,78.0,67.5,7.4,1020.4,57.9,46.2,9.0,1008.3,34.6
1995-07-16,55.4,11.7,993.5,84.4,62.1,14.6,1009.7,56.8,38.9,9.3,1001.8,31.3
1995-07-17,59.2,12.1,1000.0,64.7,67.2,7.2,1012.6,49.4,47.9,7.8,1002.4,35.0
1995-07-18,60.3,10.8,1018.3,73.9,64.4,8.5,997.2,47.5,41.0,5.4,1004.8,28.8
1995-07-19,56.4,6.2,1015.4,70.7,64.0,12.3,998.6,70.8,47.8,7.0,1011.7,29.0
1995-07-20,62.8,9.4,1012.4,74.5,67.1,7.3,1001.4,50.3,44.9,5.2,1016.1,26.2
1995-07-21,61.3,7.3,1013.4,62.5,64.6,8.0,999.6,60.1,40.8,5.9,1013.4,25.6
1995-07-22,57.6,12.4,1010.9,64.5,65.3,10.6,998.5,36.2,44.8,15.9,1018.6,32.3
1995-07-23,56.3,7.2,1021.9,67.5,61.7,9.4,1002.2,41.4,39.8,6.3,1012.7,33.5
1995-07-24,54.1,13.7,1006.3,69.5,64.6,7.5,1008.1,65.3,42.2,9.2,1014.6,30.7
1995-07-25,54.6,9.1,1012.6,65.6,61.6,9.0,1001.7,58.9,43.6,6.6,1011.0,36.3
1995-07-26,52.5,9.3,1006.1,60.3,62.2,8.5,1020.4,52.5,40.8,9.9,1021.6,39.2
1995-07-27,58.6,12.8,1011.2,59.3,62.9,11.5,1005.9,63.6,44.2,8.1,1007.9,29.1
1995-07-28,56.9,19.0,1017.0,74.9,63.3,10.1,1009.9,64.0,33.6,5.9,1007.3,27.2
1995-07-29,55.6,7.4,1005.0,76.8,62.5,9.9,1013.7,47.2,45.0,6.9,1009.1,32.0
1995-07-30,49.8,6.6,997.7,81.5,61.9,12.3,1009.1,60.8,43.5,12.3,1010.7,35.1
1995-07-31,58.2,10.2,1005.5,65.0,64.5,8.2,1020.9,63.1,41.5,8.4,1010.3,27.5
1995-08-01,56.6,6.6,998.6,58.5,63.0,10.8,1004.7,69.7,43.6,6.2,998.0,30.3
1995-08-02,56.7,8.7,1009.8,71.4,64.2,8.1,1007.8,54.1,43.7,11.4,1005.4,39.7
1995-08-03,56.6,7.7,1007.9,66.1,68.8,9.8,1010.3,64.9,42.5,6.5,1005.1,24.0
1995-08-04,59.0,7.9,999.4,67.2,66.4,11.9,992.2,52.8,47.6,7.7,1013.9,30.3
1995-08-05,52.3,7.3,992.2,64.8,61.0,11.7,1002.0,68.5,42.2,7.0,1010.8,40.0
1995-08-06,62.2,10.1,1009.0,69.7,60.7,9.6,998.8,42.3,36.7,5.9,1015.6,48.2
1995-08-07,52.9,9.1,1029.2,70.3,62.2,8.6,1013.4,67.0,37.4,16.8,1017.5,35.1
1995-08-08,55.5,15.7,1007.4,81.9,66.2,7.6,994.7,44.6,40.4,8.6,1010.4,30.7
1995-08-09,49.2,7.9,1005.4,85.0,64.4,9.3,1018.0,71.4,41.9,8.7,1012.7,38.9
1995-08-10,56.3,8.1,1000.4,58.3,65.4,10.8,1005.4,50.9,46.7,6.7,1013.2,36.5
1995-08-11,55.0,7.2,1013.4,79.0,58.9,8.9,1007.9,48.0,46.5,6.4,1005.5,29.8
1995-08-12,55.6,9.5,1003.6,83.4,62.3,13.5,991.8,70.2,48.4,7.5,1010.0,32.0
1995-08-13,56.5,7.0,1001.7,76.1,68.0,14.2,1011.2,66.2,40.0,7.5,1011.2,33.1
1995-08-14,54.2,17.1,1016.5,80.2,59.5,9.7,1019.8,42.3,43.6,7.0,1017.2,31.7
1995-08-15,59.2,14.0,1005.5,79.4,59.2,9.9,1001.5,53.7,46.4,6.1,1011.1,54.5
1995-08-16,53.9,10.4,1010.2,68.7,58.5,8.5,1008.8,62.0,43.1,9.7,1010.9,33.4
1995-08-17,56.4,8.0,1013.3,69.9,64.8,8.5,1024.4,45.9,42.8,6.8,1002.9,40.3
1995-08-18,52.8,8.2,1000.2,72.0,55.9,8.8,1003.6,57.1,41.3,6.0,1011.6,31.1
1995-08-19,57.4,7.2,1004.7,70.1,59.0,9.8,1013.4,53.3,42.9,6.3,1006.9,41.2
1995-08-20,52.1,7.8,1020.9,84.4,61.6,20.5,1017.6,66.5,37.7,13.3,1008.6,26.6
1995-08-21,54.0,8.3,1005.1,78.0,58.8,11.5,1021.6,51.1,34.2,11.3,1013.9,46.8
1995-08-22,52.9,8.8,1006.3,67.6,59.5,10.0,999.8,50.2,38.8,10.0,1009.2,23.9
1995-08-23,55.1,9.0,1007.5,74.8,60.8,9.0,1020.1,50.2,42.5,8.2,1006.7,21.6
1995-08-24,52.0,13.6,1016.5,62.3,60.6,13.4,992.8,48.5,35.0,11.6,1007.4,63.2
