date,actual_max_temp,actual_min_temp,actual_precipitation,average_max_temp,average_min_temp,record_max_temp,record_min_temp,record_max_temp_year,record_min_temp_year,record_precipitation
1995-04-21,65.1,55.8,0.07,68.1,53.6,72.1,42.5,1955,1998,0.55
1995-04-22,75.4,55.0,0.0,68.1,53.5,82.3,41.9,1958,1997,0.04
1995-04-23,72.0,57.8,0.13,69.2,54.2,82.5,45.0,1961,1976,0.39
1995-04-24,68.6,50.4,0.04,69.6,54.3,83.3,44.2,2018,1989,1.73
1995-04-25,71.7,60.7,0.42,70.0,54.3,86.2,50.5,1950,2021,1.19
1995-04-26,62.2,52.5,0.0,69.9,55.4,66.0,37.6,1963,2002,0.88
1995-04-27,66.3,55.9,0.0,70.0,56.0,76.3,41.5,2003,1999,0.95
1995-04-28,71.1,51.0,0.02,70.3,55.7,74.4,37.4,2014,1974,0.12
1995-04-29,71.4,56.7,0.0,70.8,54.9,82.7,44.5,1966,2002,0.37
1995-04-30,71.9,56.2,0.08,71.3,56.5,83.6,52.1,1967,1950,1.7
1995-05-01,74.7,52.5,0.0,72.0,56.0,80.2,44.4,1960,1977,0.63
1995-05-02,76.8,60.8,0.78,71.0,56.5,88.1,54.2,2018,2008,1.65
1995-05-03,70.0,57.2,0.02,72.5,57.2,74.0,49.6,1998,2018,0.21
1995-05-04,67.1,62.1,0.0,72.5,57.5,71.8,52.1,1972,1961,0.96
1995-05-05,73.4,53.9,0.0,73.7,57.4,82.6,46.2,1997,1958,2.59
1995-05-06,68.1,55.3,0.0,73.1,57.2,75.5,47.2,1962,1973,0.04
1995-05-07,70.9,59.1,0.21,74.0,57.2,85.1,48.9,1951,1992,2.06
1995-05-08,80.6,57.9,0.2,73.6,58.6,91.0,44.3,2008,2011,0.6
1995-05-09,67.5,56.0,0.0,74.0,58.8,78.8,51.1,2019,1956,0.06
1995-05-10,74.6,70.6,0.0,74.2,59.5,87.6,64.3,2017,1999,0.26
1995-05-11,77.7,58.6,0.0,74.4,58.8,90.6,55.4,2002,1998,0.05
1995-05-12,69.7,58.2,0.0,74.8,59.1,82.0,44.5,1959,1979,0.6
1995-05-13,77.1,69.0,0.08,75.4,58.9,88.8,65.5,1956,1950,1.4
1995-05-14,83.7,57.3,0.04,75.8,59.8,96.2,44.3,1956,1954,1.72
1995-05-15,74.2,61.6,0.67,75.6,60.4,77.9,48.5,2000,1981,1.79
1995-05-16,79.5,63.2,0.0,76.1,60.2,89.7,60.0,1984,1952,2.59
1995-05-17,80.7,66.5,0.0,75.7,60.6,92.0,53.0,1979,2016,1.6
1995-05-18,80.9,60.7,0.0,76.7,61.4,89.2,51.9,1954,1987,0.88
1995-05-19,82.8,59.9,0.46,76.4,60.9,95.6,45.3,1990,1959,0.94
1995-05-20,75.9,55.9,0.4,77.2,61.5,87.4,46.1,1977,1959,1.44
1995-05-21,88.3,58.2,0.0,77.3,61.2,92.3,45.7,1968,1965,0.16
1995-05-22,79.5,60.2,0.0,76.7,61.5,92.3,50.1,1963,1973,0.62
1995-05-23,77.8,54.4,0.12,77.2,61.6,85.0,41.6,1958,2014,0.36
1995-05-24,76.6,62.3,0.0,77.7,62.8,85.2,50.1,1956,1991,0.43
1995-05-25,81.3,60.8,0.0,77.0,62.8,88.2,55.5,2002,1955,2.4
1995-05-26,79.3,58.7,0.0,77.2,62.4,92.8,48.9,2000,2021,0.04
1995-05-27,76.7,57.2,0.1,78.4,62.8,84.4,49.5,1958,2017,0.19
1995-05-28,76.7,52.3,0.0,78.0,63.3,90.8,49.2,2002,1987,0.88
1995-05-29,67.8,71.3,0.0,78.2,63.8,81.5,60.9,2005,2016,0.37
1995-05-30,77.5,70.5,0.0,79.3,62.7,87.0,64.9,2009,2011,0.22
1995-05-31,83.9,58.0,0.0,79.9,63.1,90.8,44.5,1969,1985,1.36
1995-06-01,83.4,55.2,0.0,79.2,64.2,87.0,44.0,2004,2016,0.03
1995-06-02,77.7,66.0,0.0,79.8,63.6,81.0,61.3,1974,1995,1.47
1995-06-03,82.9,62.0,0.0,80.1,63.8,96.0,58.3,1952,1951,0.67
1995-06-04,74.1,62.4,0.02,78.8,63.8,84.6,48.6,1989,1990,0.36
1995-06-05,79.1,63.8,0.02,80.0,64.3,85.5,49.2,1955,1956,0.12
1995-06-06,77.3,62.0,0.04,80.6,64.3,82.6,48.8,2012,1988,0.28
1995-06-07,76.1,72.2,0.0,80.6,63.9,79.9,66.1,2014,1963,0.89
1995-06-08,90.3,59.6,0.41,80.4,64.1,98.4,53.1,1966,2007,0.65
1995-06-09,85.8,59.9,0.02,80.1,64.8,93.0,52.6,1961,1979,0.81
1995-06-10,78.1,61.1,0.07,81.1,64.6,86.4,55.1,2003,1961,0.12
1995-06-11,80.9,62.8,0.5,80.7,65.1,89.8,51.2,1994,2003,0.75
1995-06-12,67.0,69.7,0.0,80.8,65.2,77.7,60.6,2021,1988,0.43
1995-06-13,86.8,63.8,0.09,80.0,65.0,93.8,54.7,1962,2002,0.96
1995-06-14,82.2,62.4,0.0,81.4,65.4,85.6,53.4,1965,2021,0.25
1995-06-15,81.9,64.8,0.0,80.7,65.3,90.6,58.9,1975,2000,0.17
1995-06-16,87.5,61.0,0.04,81.2,65.4,97.2,48.3,1967,1958,0.25
1995-06-17,86.2,69.0,0.0,81.2,64.7,92.0,57.1,1955,1970,0.63
1995-06-18,88.5,63.1,0.0,81.8,65.3,95.3,49.6,2006,2009,0.13
1995-06-19,72.9,68.1,0.13,80.9,65.2,84.4,60.4,1989,2018,1.2
1995-06-20,83.8,70.2,0.0,81.3,65.7,91.8,65.9,1966,2017,0.72
1995-06-21,81.9,64.4,0.36,81.5,66.2,90.2,55.1,2012,1954,0.78
1995-06-22,77.1,72.3,0.0,81.1,66.0,87.8,59.1,1962,1989,0.65
1995-06-23,86.5,63.7,0.0,82.4,65.6,98.4,52.1,1964,1989,0.42
1995-06-24,82.3,70.0,0.09,81.8,66.4,91.7,66.1,2010,1974,0.5
1995-06-25,86.8,73.1,0.0,81.1,65.8,97.7,68.7,1954,1962,0.08
1995-06-26,83.4,62.1,0.0,80.8,65.8,96.2,57.3,1982,1999,0.34
1995-06-27,80.4,68.8,0.0,82.1,66.3,85.0,63.6,1964,1980,0.07
1995-06-28,77.8,60.7,0.0,81.8,65.7,82.8,46.1,2018,2013,0.02
1995-06-29,82.3,68.3,0.0,82.2,65.8,92.8,60.3,2005,1976,0.52
1995-06-30,80.6,63.5,0.0,82.2,66.3,95.1,52.5,1960,1962,0.19
1995-07-01,69.8,63.3,0.13,81.7,65.8,72.9,58.3,2011,1961,0.23
1995-07-02,77.2,66.4,0.06,81.3,66.6,83.8,56.2,1950,1988,0.49
1995-07-03,76.8,69.4,0.08,82.6,66.5,83.2,63.5,1978,2019,0.31
1995-07-04,84.0,66.3,0.11,82.0,65.6,88.9,51.5,2015,1973,1.66
1995-07-05,78.5,65.4,0.87,81.2,65.5,87.5,55.8,2013,2003,1.76
1995-07-06,81.6,68.3,0.0,82.9,65.7,92.2,61.3,1956,1958,0.86
1995-07-07,81.2,68.2,0.0,82.0,67.0,91.7,57.6,1961,1993,0.07
1995-07-08,80.7,71.6,0.0,81.2,66.2,95.2,61.6,2017,1971,0.92
1995-07-09,74.7,63.7,0.0,81.4,65.4,81.1,55.1,1998,2012,0.26
1995-07-10,78.4,63.6,0.0,82.1,66.6,88.0,49.6,2013,2007,2.96
1995-07-11,86.7,69.0,0.0,81.1,66.8,90.6,54.9,1996,1961,0.41
1995-07-12,87.7,71.4,0.0,81.3,66.0,98.6,66.6,1977,1960,0.0
1995-07-13,80.0,65.7,0.0,81.4,64.7,93.2,60.8,1994,2003,1.65
1995-07-14,76.4,64.2,0.09,81.6,65.7,90.7,49.3,1994,2002,0.49
1995-07-15,77.2,65.9,0.0,81.8,65.8,86.9,55.3,1985,2017,0.5
1995-07-16,83.4,69.0,0.0,81.5,66.5,94.8,63.8,1999,2016,0.04
1995-07-17,85.5,65.4,0.0,80.5,65.7,98.5,61.5,1978,1985,0.39
1995-07-18,77.2,63.4,0.35,81.8,65.5,90.3,51.3,1979,1997,0.63
1995-07-19,86.7,65.0,0.0,81.3,65.6,93.1,51.2,1965,2013,1.4
1995-07-20,79.7,62.7,1.45,80.4,66.0,90.5,50.0,1995,1951,2.69
1995-07-21,78.3,62.6,0.0,81.5,64.9,92.6,56.4,2009,1985,0.35
1995-07-22,73.7,66.7,0.0,81.0,65.3,88.0,52.5,1958,2001,0.93
1995-07-23,79.1,60.3,0.0,81.2,65.0,84.3,57.3,1995,1950,0.36
1995-07-24,79.8,62.4,0.0,80.5,64.3,93.9,48.9,1952,2019,1.56
1995-07-25,78.2,60.2,0.14,79.9,64.2,92.4,45.5,1987,1989,0.81
1995-07-26,87.7,63.2,0.0,80.0,64.7,97.3,49.3,2021,1986,0.69
1995-07-27,80.3,61.7,0.0,80.3,64.3,85.9,57.4,1979,1958,0.76
1995-07-28,77.4,62.6,0.05,79.9,63.8,81.1,48.2,1978,1967,0.55
1995-07-29,82.2,60.8,0.0,79.6,64.3,87.5,53.5,1963,2014,0.38
1995-07-30,85.4,53.7,0.12,78.6,64.5,90.0,42.2,2013,1997,0.24
1995-07-31,79.2,70.1,0.19,79.0,63.5,84.5,65.0,1955,1958,1.09
1995-08-01,79.4,65.9,0.39,79.1,63.4,94.1,51.6,2001,1979,0.62
1995-08-02,76.1,60.9,0.04,79.6,62.9,81.0,53.5,1956,1964,2.96
1995-08-03,85.6,64.8,0.03,79.3,63.4,94.9,52.5,2003,2013,0.48
1995-08-04,79.0,57.1,0.0,79.1,63.7,84.8,42.8,1981,2001,0.01
1995-08-05,74.0,57.0,0.0,79.2,62.7,77.9,42.8,1984,2000,0.31
1995-08-06,78.6,59.6,0.12,78.8,62.9,84.5,50.1,2000,1957,0.51
1995-08-07,81.6,64.7,0.3,77.8,62.2,92.9,53.4,1997,2005,0.71
1995-08-08,87.2,63.9,0.0,78.1,63.0,92.6,55.2,2014,2016,2.0
1995-08-09,68.9,66.5,0.02,78.0,61.9,73.7,55.9,2018,1971,0.69
1995-08-10,76.4,63.4,0.11,78.2,61.7,80.6,49.7,2009,1951,0.92
1995-08-11,76.3,60.1,0.38,77.0,62.5,81.1,54.0,1970,1950,0.98
1995-08-12,67.3,63.5,0.0,77.1,62.2,70.7,53.8,1999,1998,0.8
1995-08-13,79.4,65.6,0.0,77.3,62.5,84.7,56.1,1991,1986,0.08
1995-08-14,76.5,61.9,0.19,76.8,62.7,90.5,48.1,1985,1966,1.64
1995-08-15,73.3,58.1,0.0,77.5,60.7,88.3,51.4,1997,2015,0.5
1995-08-16,74.6,67.6,0.0,75.9,61.7,86.5,62.8,1962,2013,0.82
1995-08-17,80.1,59.6,0.0,76.6,59.4,89.6,50.2,2021,1950,0.02
1995-08-18,60.3,64.4,0.3,75.9,60.2,64.0,61.2,1961,1978,0.6
1995-08-19,82.5,55.8,0.1,75.5,59.9,95.3,52.1,1968,1951,0.49
1995-08-20,73.3,62.8,0.09,75.8,59.9,78.5,53.1,1952,2006,0.6
1995-08-21,65.5,56.0,0.0,76.3,60.0,77.3,41.3,1996,1994,0.24
1995-08-22,74.6,59.7,0.0,73.6,59.1,89.4,51.0,2021,1968,0.12
1995-08-23,79.4,62.8,0.56,74.3,59.5,92.2,52.2,1985,1988,0.66
1995-08-24,74.2,63.0,0.03,73.6,59.4,84.6,50.9,2009,1951,0.95
1995-08-25,76.1,61.4,0.0,74.2,59.7,81.3,50.0,2010,2016,1.35
1995-08-26,78.4,62.8,0.0,73.6,58.5,93.3,48.7,2009,2018,0.44
1995-08-27,79.2,60.8,0.0,73.9,58.6,83.4,55.0,1976,1981,0.68
1995-08-28,81.6,55.1,0.0,72.4,58.2,93.6,50.9,1970,2005,0.38
1995-08-29,75.9,56.4,0.0,72.4,58.2,82.2,52.5,1958,1987,0.2
1995-08-30,66.0,59.0,0.0,72.4,56.6,69.2,45.4,1972,1969,0.2
1995-08-31,79.2,53.7,0.0,71.9,58.0,86.1,44.5,1960,1955,0.17
1995-09-01,81.9,62.7,0.0,71.0,56.4,92.8,57.5,1997,1986,0.58
1995-09-02,68.6,56.3,0.48,71.7,56.6,82.6,44.8,2003,2015,0.76
1995-09-03,71.2,56.9,0.07,71.7,56.6,74.8,45.3,1964,2001,0.26
1995-09-04,68.0,53.4,0.08,71.1,56.9,80.8,49.4,1955,1998,0.29
1995-09-05,74.5,58.1,0.0,71.7,55.9,84.0,49.3,1959,1978,0.95
1995-09-06,63.4,52.3,0.0,70.5,55.4,72.2,39.9,1979,1950,0.3
1995-09-07,64.7,50.7,0.56,70.5,55.9,76.7,39.6,1952,1969,0.65
1995-09-08,69.1,52.0,0.08,70.0,56.1,74.9,44.4,2021,1974,1.15
1995-09-09,72.2,54.9,0.09,69.8,54.7,83.2,44.5,1957,2014,0.92
1995-09-10,69.0,53.5,0.19,69.5,54.1,75.7,41.3,1965,1966,2.9
1995-09-11,68.8,61.0,0.07,69.5,53.5,79.4,50.3,1994,1950,0.75
1995-09-12,71.9,57.5,0.05,68.4,53.3,75.1,48.8,1970,1996,0.46
1995-09-13,73.7,53.9,0.0,68.3,53.8,88.0,46.6,1988,1978,0.17
1995-09-14,68.9,54.5,0.0,68.0,53.3,82.9,42.0,1986,1963,1.04
1995-09-15,75.3,57.6,0.04,67.6,53.5,89.6,50.8,1992,1972,0.11
1995-09-16,56.3,60.2,0.0,66.9,52.6,60.2,48.7,1960,1987,0.18
1995-09-17,64.9,54.7,0.38,65.4,51.5,69.8,43.3,2008,2006,0.62
1995-09-18,55.1,53.2,0.93,66.0,52.1,68.9,43.9,1995,1974,1.08
1995-09-19,67.8,52.3,0.09,66.7,51.7,79.5,40.2,1988,1972,0.73
1995-09-20,68.4,53.6,0.0,66.2,51.7,76.9,40.6,1984,1985,0.51
1995-09-21,61.8,56.4,0.0,65.8,51.1,68.4,52.4,1999,1999,1.04
1995-09-22,62.6,52.4,0.0,65.5,50.9,75.7,42.8,1962,1967,3.24
1995-09-23,57.1,56.2,0.03,65.1,50.3,70.0,50.4,1977,1967,0.11
1995-09-24,68.7,47.4,0.0,65.6,49.5,74.9,34.9,1960,2004,0.64
1995-09-25,56.7,43.7,0.0,64.3,50.6,65.6,35.4,1975,2012,0.35
1995-09-26,72.2,52.5,0.0,64.6,49.2,82.6,39.0,1990,2021,0.79
1995-09-27,60.4,48.1,0.12,64.0,49.0,64.8,37.4,2021,2019,1.06
1995-09-28,63.6,52.0,0.12,63.1,50.2,78.2,47.7,1965,1967,0.57
1995-09-29,69.2,46.4,0.0,62.5,48.6,81.7,40.4,1959,2009,1.51
1995-09-30,62.2,48.7,0.38,62.4,48.1,73.1,40.9,2008,1986,0.77
1995-10-01,61.8,47.4,0.04,62.2,48.8,75.1,39.7,2016,1954,0.96
1995-10-02,66.5,51.8,0.0,61.7,46.9,71.4,44.0,1982,2009,1.33
1995-10-03,56.4,45.6,0.0,61.5,46.3,67.5,31.8,1960,1977,0.57
1995-10-04,58.8,43.8,0.0,60.8,47.1,62.9,35.3,1984,1950,1.36
1995-10-05,63.0,45.3,0.25,60.7,47.2,68.2,41.2,1966,1973,0.73
1995-10-06,59.9,48.4,0.32,60.6,47.5,66.0,41.8,1979,2013,2.02
1995-10-07,52.5,44.6,0.1,60.1,46.7,61.7,36.3,1996,2017,0.67
1995-10-08,54.5,45.7,0.0,60.0,46.6,59.1,38.5,2011,1973,0.53
1995-10-09,68.8,43.5,0.0,59.3,46.1,79.7,37.6,1957,2003,0.17
1995-10-10,59.3,43.4,0.0,58.9,45.4,63.7,35.4,2002,2010,0.45
1995-10-11,59.8,51.7,0.16,58.9,45.3,66.2,38.0,1989,2020,1.03
1995-10-12,61.3,52.2,0.06,58.9,44.9,73.2,44.2,1980,1982,1.56
1995-10-13,65.3,49.9,0.0,58.1,45.4,76.7,42.6,1985,1955,1.07
1995-10-14,51.8,47.2,0.0,57.9,44.2,65.6,39.1,1999,1997,0.72
1995-10-15,57.1,45.2,0.23,57.6,42.5,67.1,34.1,1984,1992,0.82
1995-10-16,55.2,40.0,0.0,57.1,42.9,68.6,36.9,1962,1982,0.96
1995-10-17,59.2,40.8,0.03,57.1,43.6,72.4,33.0,1985,1971,0.08
1995-10-18,50.9,41.7,0.0,56.5,42.4,59.3,33.4,1989,1977,0.38
1995-10-19,60.1,51.9,0.0,56.8,42.7,73.4,40.5,1956,2004,0.44
1995-10-20,55.0,39.2,0.12,55.5,42.6,66.5,24.7,2018,1961,0.16
1995-10-21,55.9,43.4,0.5,55.6,42.5,61.1,36.9,1998,2002,0.71
1995-10-22,58.0,33.6,0.0,55.1,42.0,68.1,29.7,1977,2013,0.11
1995-10-23,50.8,44.0,0.0,54.7,41.2,58.7,31.4,1953,1992,0.64
1995-10-24,61.1,40.6,0.0,54.2,39.9,68.0,32.1,1999,1987,0.97
1995-10-25,64.8,34.0,0.0,54.6,40.5,75.1,27.0,1977,2007,0.66
1995-10-26,59.4,44.6,0.0,54.0,40.2,68.1,36.5,1971,1961,1.47
1995-10-27,63.0,42.1,0.05,54.4,40.5,77.9,30.8,1975,1996,0.83
1995-10-28,53.6,34.3,0.0,53.3,39.3,68.3,30.7,1985,2006,0.71
1995-10-29,55.8,39.8,0.12,53.3,39.9,66.6,29.3,2003,1989,0.29
1995-10-30,49.8,41.3,0.64,52.4,40.1,55.7,32.4,1995,1953,1.97
1995-10-31,55.5,39.6,0.0,52.3,39.3,65.7,29.4,1979,2006,0.21
1995-11-01,58.1,42.7,0.23,51.5,39.4,63.2,33.1,2007,2019,1.18
1995-11-02,45.4,40.4,0.0,51.9,38.3,57.9,35.6,1952,2012,0.26
1995-11-03,47.9,44.0,0.0,51.9,38.8,62.5,34.1,2020,1952,0.61
